ORGANIZATION_NAME,SECTOR,OCCUPIED_BEDS,UNOCCUPIED_BEDS
City of Toronto,Men,46,2
City of Toronto,Men,46,2
City of Toronto,Men,46,2
City of Toronto,Men,46,2
City of Toronto,Men,46,2
Fred Victor Centre,Women,24,1
Fred Victor Centre,Women,24,1
Fred Victor Centre,Women,24,1
Fred Victor Centre,Women,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Good Shepherd Ministries,Men,24,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Friends of Ruby,Youth,25,1
Fred Victor Centre,Women,50,2
Fred Victor Centre,Women,50,2
Fred Victor Centre,Mixed Adult,52,2
YWCA Toronto,Youth,26,1
YWCA Toronto,Youth,26,1
Na-Me-Res (Native Men's Residence),Men,52,2
Na-Me-Res (Native Men's Residence),Men,52,2
Na-Me-Res (Native Men's Residence),Men,52,2
Na-Me-Res (Native Men's Residence),Men,52,2
Na-Me-Res (Native Men's Residence),Men,52,2
Na-Me-Res (Native Men's Residence),Men,52,2
Na-Me-Res (Native Men's Residence),Men,52,2
Homes First Society,Mixed Adult,107,4
Covenant House Toronto,Youth,27,1
Covenant House Toronto,Youth,27,1
Covenant House Toronto,Youth,27,1
Covenant House Toronto,Youth,27,1
Covenant House Toronto,Youth,27,1
Covenant House Toronto,Youth,27,1
Covenant House Toronto,Youth,27,1
Covenant House Toronto,Youth,27,1
Covenant House Toronto,Youth,27,1
Covenant House Toronto,Youth,27,1
YWCA Toronto,Women,27,1
YWCA Toronto,Women,27,1
Dixon Hall,Mixed Adult,135,5
Fred Victor Centre,Mixed Adult,55,2
Margaret's Housing and Community Support Services,Mixed Adult,29,1
Covenant House Toronto,Youth,29,1
Covenant House Toronto,Youth,29,1
Covenant House Toronto,Youth,29,1
Covenant House Toronto,Youth,29,1
Covenant House Toronto,Youth,29,1
Covenant House Toronto,Youth,29,1
Fred Victor Centre,Mixed Adult,58,2
Fred Victor Centre,Mixed Adult,58,2
Christie Ossington Neighbourhood Centre,Men,29,1
Fred Victor Centre,Mixed Adult,145,5
Dixon Hall,Mixed Adult,30,1
YWCA Toronto,Youth,30,1
YWCA Toronto,Youth,30,1
Warden Woods Community Centre,Mixed Adult,31,1
Warden Woods Community Centre,Mixed Adult,31,1
Youth Without Shelter,Youth,32,1
Youth Without Shelter,Youth,32,1
Dixon Hall,Mixed Adult,33,1
City of Toronto,Men,66,2
City of Toronto,Men,66,2
Homes First Society,Men,33,1
City of Toronto,Men,66,2
City of Toronto,Men,66,2
City of Toronto,Men,66,2
City of Toronto,Men,66,2
City of Toronto,Men,66,2
City of Toronto,Men,66,2
City of Toronto,Men,66,2
City of Toronto,Men,66,2
Good Shepherd Ministries,Men,34,1
Good Shepherd Ministries,Men,34,1
Good Shepherd Ministries,Men,34,1
Good Shepherd Ministries,Men,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
City of Toronto,Mixed Adult,34,1
Fred Victor Centre,Mixed Adult,136,4
Fred Victor Centre,Mixed Adult,68,2
Fred Victor Centre,Mixed Adult,68,2
Fred Victor Centre,Mixed Adult,68,2
Fred Victor Centre,Mixed Adult,68,2
Fred Victor Centre,Mixed Adult,68,2
City of Toronto,Men,103,3
City of Toronto,Men,35,1
City of Toronto,Men,35,1
City of Toronto,Men,35,1
City of Toronto,Men,35,1
City of Toronto,Men,35,1
City of Toronto,Men,35,1
City of Toronto,Men,35,1
City of Toronto,Men,35,1
City of Toronto,Men,35,1
City of Toronto,Men,35,1
City of Toronto,Men,35,1
Fred Victor Centre,Women,35,1
Fred Victor Centre,Women,35,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Women,36,1
Fred Victor Centre,Mixed Adult,146,4
Fred Victor Centre,Mixed Adult,146,4
Fred Victor Centre,Mixed Adult,113,3
Eva's Initiatives,Youth,38,1
Eva's Initiatives,Youth,38,1
Eva's Initiatives,Youth,39,1
Eva's Initiatives,Youth,39,1
Eva's Initiatives,Youth,39,1
YMCA of Greater Toronto,Youth,39,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
YouthLink,Youth,40,1
Christie Ossington Neighbourhood Centre,Men,41,1
Fred Victor Centre,Mixed Adult,42,1
Horizon for Youth,Youth,44,1
Horizon for Youth,Youth,44,1
Horizon for Youth,Youth,44,1
Dixon Hall,Mixed Adult,45,1
Dixon Hall,Mixed Adult,45,1
Dixon Hall,Mixed Adult,45,1
Dixon Hall,Mixed Adult,45,1
Dixon Hall,Mixed Adult,45,1
City of Toronto,Mixed Adult,47,1
City of Toronto,Mixed Adult,47,1
City of Toronto,Mixed Adult,47,1
Homes First Society,Mixed Adult,47,1
Homes First Society,Mixed Adult,47,1
Homes First Society,Mixed Adult,47,1
City of Toronto,Men,47,1
City of Toronto,Men,47,1
City of Toronto,Men,47,1
City of Toronto,Men,47,1
City of Toronto,Men,47,1
City of Toronto,Men,47,1
City of Toronto,Men,47,1
City of Toronto,Men,47,1
City of Toronto,Men,47,1
Homes First Society,Mixed Adult,48,1
Dixon Hall,Mixed Adult,49,1
The Scott Mission Inc.,Men,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Eva's Initiatives,Youth,49,1
Dixon Hall,Mixed Adult,147,3
Fred Victor Centre,Mixed Adult,147,3
Fred Victor Centre,Mixed Adult,147,3
Fred Victor Centre,Mixed Adult,147,3
Fred Victor Centre,Mixed Adult,147,3
Fred Victor Centre,Mixed Adult,147,3
Fred Victor Centre,Mixed Adult,147,3
City of Toronto,Men,99,2
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
Fred Victor Centre,Women,51,1
City of Toronto,Men,52,1
City of Toronto,Men,52,1
Homes First Society,Mixed Adult,104,2
Homes First Society,Mixed Adult,109,2
Homes First Society,Mixed Adult,109,2
Homes First Society,Mixed Adult,109,2
Homes First Society,Mixed Adult,110,2
Homes First Society,Mixed Adult,110,2
Homes First Society,Mixed Adult,110,2
Homes First Society,Mixed Adult,110,2
Homes First Society,Mixed Adult,110,2
Fred Victor Centre,Mixed Adult,57,1
Fred Victor Centre,Mixed Adult,59,1
Fred Victor Centre,Mixed Adult,59,1
Fred Victor Centre,Mixed Adult,59,1
Fred Victor Centre,Mixed Adult,59,1
Fred Victor Centre,Mixed Adult,59,1
Fred Victor Centre,Mixed Adult,59,1
Fred Victor Centre,Mixed Adult,118,2
City of Toronto,Men,66,1
City of Toronto,Men,66,1
City of Toronto,Men,66,1
City of Toronto,Men,66,1
City of Toronto,Men,66,1
City of Toronto,Men,66,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
City of Toronto,Men,67,1
Fred Victor Centre,Mixed Adult,134,2
Fred Victor Centre,Mixed Adult,68,1
Fred Victor Centre,Mixed Adult,68,1
Fred Victor Centre,Mixed Adult,68,1
Fred Victor Centre,Mixed Adult,69,1
Fred Victor Centre,Mixed Adult,69,1
Fred Victor Centre,Mixed Adult,69,1
Fred Victor Centre,Mixed Adult,69,1
Fred Victor Centre,Mixed Adult,69,1
Fred Victor Centre,Mixed Adult,69,1
Dixon Hall,Mixed Adult,139,2
St. Felix Social Ministries Outreach,Mixed Adult,71,1
St. Felix Social Ministries Outreach,Mixed Adult,71,1
St. Felix Social Ministries Outreach,Mixed Adult,71,1
Homes First Society,Men,72,1
Homes First Society,Men,73,1
Dixon Hall,Mixed Adult,146,2
Dixon Hall,Mixed Adult,148,2
Fred Victor Centre,Mixed Adult,148,2
Fred Victor Centre,Mixed Adult,148,2
Dixon Hall,Mixed Adult,148,2
Fred Victor Centre,Mixed Adult,148,2
Fred Victor Centre,Mixed Adult,148,2
Fred Victor Centre,Mixed Adult,148,2
Fred Victor Centre,Mixed Adult,148,2
Dixon Hall,Mixed Adult,77,1
Dixon Hall,Mixed Adult,77,1
Dixon Hall,Mixed Adult,77,1
Dixon Hall,Mixed Adult,77,1
Dixon Hall,Mixed Adult,77,1
Dixon Hall,Mixed Adult,77,1
Homes First Society,Mixed Adult,81,1
Homes First Society,Mixed Adult,82,1
The Salvation Army of Canada,Women,84,1
The Salvation Army of Canada,Women,85,1
City of Toronto,Women,86,1
City of Toronto,Women,87,1
City of Toronto,Women,87,1
City of Toronto,Women,87,1
City of Toronto,Women,87,1
City of Toronto,Women,87,1
Homes First Society,Mixed Adult,88,1
Homes First Society,Mixed Adult,88,1
City of Toronto,Mixed Adult,92,1
City of Toronto,Mixed Adult,92,1
City of Toronto,Mixed Adult,92,1
City of Toronto,Mixed Adult,92,1
City of Toronto,Mixed Adult,92,1
City of Toronto,Mixed Adult,92,1
City of Toronto,Mixed Adult,92,1
City of Toronto,Mixed Adult,92,1
City of Toronto,Mixed Adult,92,1
City of Toronto,Mixed Adult,92,1
City of Toronto,Mixed Adult,92,1
Covenant House Toronto,Youth,93,1
Covenant House Toronto,Youth,93,1
City of Toronto,Men,100,1
City of Toronto,Men,104,1
City of Toronto,Men,105,1
Homes First Society,Mixed Adult,107,1
Homes First Society,Mixed Adult,108,1
Homes First Society,Mixed Adult,110,1
Homes First Society,Mixed Adult,110,1
Homes First Society,Mixed Adult,110,1
Homes First Society,Mixed Adult,111,1
Fred Victor Centre,Mixed Adult,115,1
Fred Victor Centre,Mixed Adult,117,1
City of Toronto,Men,118,1
Dixon Hall,Mixed Adult,118,1
Dixon Hall,Mixed Adult,118,1
Fred Victor Centre,Mixed Adult,118,1
Fred Victor Centre,Mixed Adult,119,1
Fred Victor Centre,Mixed Adult,119,1
Fred Victor Centre,Mixed Adult,119,1
City of Toronto,Men,121,1
City of Toronto,Men,121,1
Homes First Society,Women,131,1
Dixon Hall,Mixed Adult,149,1
Fred Victor Centre,Mixed Adult,149,1
Fred Victor Centre,Mixed Adult,149,1
Fred Victor Centre,Mixed Adult,149,1
Fred Victor Centre,Mixed Adult,149,1
Dixon Hall,Mixed Adult,149,1
Dixon Hall,Mixed Adult,149,1
Fred Victor Centre,Mixed Adult,149,1
The Salvation Army of Canada,Men,263,1
The Salvation Army of Canada,Men,263,1
The Salvation Army of Canada,Men,263,1
The Salvation Army of Canada,Men,263,1
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,89,0
Homes First Society,Mixed Adult,88,0
Homes First Society,Mixed Adult,88,0
Homes First Society,Mixed Adult,88,0
Homes First Society,Mixed Adult,88,0
Homes First Society,Mixed Adult,88,0
Homes First Society,Mixed Adult,88,0
Homes First Society,Mixed Adult,88,0
Homes First Society,Mixed Adult,88,0
Homes First Society,Mixed Adult,88,0
Homes First Society,Mixed Adult,88,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Mixed Adult,48,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,101,0
City of Toronto,Men,100,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Warden Woods Community Centre,Mixed Adult,32,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,49,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Mixed Adult,48,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
Homes First Society,Women,61,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,10,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
YouthLink,Youth,41,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
City of Toronto,Mixed Adult,93,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
Homes First Society,Mixed Adult,38,0
