ORGANIZATION_NAME,SECTOR,OCCUPIED_BEDS,UNOCCUPIED_BEDS
Good Shepherd Ministries,Men,4,1
Good Shepherd Ministries,Men,4,1
Good Shepherd Ministries,Men,4,1
Fred Victor Centre,Mixed Adult,20,5
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Native Child & Family Services Toronto,Youth,12,3
Youth Without Shelter,Youth,16,4
City of Toronto,Men,29,7
Fred Victor Centre,Mixed Adult,43,10
City of Toronto,Mixed Adult,39,9
City of Toronto,Mixed Adult,39,9
Sistering: A Women's Place,Women,13,3
Christie Ossington Neighbourhood Centre,Mixed Adult,18,4
Youth Without Shelter,Youth,27,6
Youth Without Shelter,Youth,27,6
Youth Without Shelter,Youth,27,6
Youth Without Shelter,Youth,27,6
Youth Without Shelter,Youth,27,6
Youth Without Shelter,Youth,27,6
Na-Me-Res (Native Men's Residence),Men,14,3
Na-Me-Res (Native Men's Residence),Men,14,3
Na-Me-Res (Native Men's Residence),Men,14,3
Na-Me-Res (Native Men's Residence),Men,14,3
Na-Me-Res (Native Men's Residence),Men,14,3
Na-Me-Res (Native Men's Residence),Men,14,3
Na-Me-Res (Native Men's Residence),Men,14,3
Christie Ossington Neighbourhood Centre,Mixed Adult,19,4
Christie Ossington Neighbourhood Centre,Mixed Adult,19,4
City of Toronto,Mixed Adult,40,8
City of Toronto,Mixed Adult,40,8
City of Toronto,Mixed Adult,40,8
City of Toronto,Mixed Adult,40,8
Homes First Society,Men,5,1
Homes First Society,Men,5,1
City of Toronto,Men,15,3
City of Toronto,Men,15,3
City of Toronto,Men,15,3
City of Toronto,Men,15,3
City of Toronto,Men,15,3
City of Toronto,Men,15,3
City of Toronto,Men,15,3
City of Toronto,Men,15,3
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
Friends of Ruby,Youth,5,1
City of Toronto,Men,30,6
City of Toronto,Men,30,6
Toronto Community Hostel,Mixed Adult,5,1
Toronto Community Hostel,Mixed Adult,5,1
Toronto Community Hostel,Mixed Adult,5,1
Native Child & Family Services Toronto,Youth,10,2
Native Child & Family Services Toronto,Youth,10,2
Native Child & Family Services Toronto,Youth,10,2
Youth Without Shelter,Youth,28,5
Youth Without Shelter,Youth,28,5
Youth Without Shelter,Youth,28,5
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
Youth Without Shelter,Youth,17,3
City of Toronto,Mixed Adult,41,7
City of Toronto,Mixed Adult,41,7
Fred Victor Centre,Mixed Adult,59,10
City of Toronto,Mixed Adult,6,1
Fred Victor Centre,Mixed Adult,60,10
City of Toronto,Men,31,5
City of Toronto,Men,31,5
Native Child & Family Services Toronto,Youth,13,2
Native Child & Family Services Toronto,Youth,13,2
Native Child & Family Services Toronto,Youth,13,2
Native Child & Family Services Toronto,Youth,13,2
Native Child & Family Services Toronto,Youth,13,2
Native Child & Family Services Toronto,Youth,13,2
Native Child & Family Services Toronto,Youth,13,2
Native Child & Family Services Toronto,Youth,13,2
City of Toronto,Men,59,9
City of Toronto,Men,59,9
City of Toronto,Men,59,9
City of Toronto,Men,59,9
Fred Victor Centre,Mixed Adult,46,7
Fred Victor Centre,Mixed Adult,61,9
City of Toronto,Mixed Adult,42,6
City of Toronto,Mixed Adult,42,6
COSTI Immigrant Services,Mixed Adult,7,1
COSTI Immigrant Services,Mixed Adult,7,1
COSTI Immigrant Services,Mixed Adult,7,1
COSTI Immigrant Services,Mixed Adult,7,1
COSTI Immigrant Services,Mixed Adult,7,1
COSTI Immigrant Services,Mixed Adult,7,1
COSTI Immigrant Services,Mixed Adult,7,1
COSTI Immigrant Services,Mixed Adult,7,1
COSTI Immigrant Services,Mixed Adult,7,1
Sistering: A Women's Place,Women,14,2
Sistering: A Women's Place,Women,14,2
Youth Without Shelter,Youth,29,4
Youth Without Shelter,Youth,29,4
Youth Without Shelter,Youth,29,4
Youth Without Shelter,Youth,29,4
Youth Without Shelter,Youth,29,4
Youth Without Shelter,Youth,29,4
Youth Without Shelter,Youth,29,4
Dixon Hall,Mixed Adult,22,3
Good Shepherd Ministries,Men,22,3
Good Shepherd Ministries,Men,22,3
Good Shepherd Ministries,Men,22,3
Good Shepherd Ministries,Men,22,3
Good Shepherd Ministries,Men,22,3
Good Shepherd Ministries,Men,22,3
Good Shepherd Ministries,Men,22,3
Good Shepherd Ministries,Men,22,3
City of Toronto,Men,60,8
City of Toronto,Men,60,8
City of Toronto,Men,60,8
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Na-Me-Res (Native Men's Residence),Men,15,2
Fred Victor Centre,Women,23,3
Fred Victor Centre,Women,23,3
Fred Victor Centre,Women,23,3
Fred Victor Centre,Women,23,3
Fred Victor Centre,Women,23,3
Fred Victor Centre,Women,23,3
Fred Victor Centre,Women,23,3
City of Toronto,Mixed Adult,31,4
City of Toronto,Mixed Adult,31,4
City of Toronto,Mixed Adult,31,4
City of Toronto,Mixed Adult,31,4
City of Toronto,Mixed Adult,31,4
Fred Victor Centre,Mixed Adult,62,8
City of Toronto,Men,16,2
City of Toronto,Men,16,2
City of Toronto,Men,16,2
City of Toronto,Men,16,2
City of Toronto,Men,16,2
City of Toronto,Men,16,2
City of Toronto,Men,16,2
City of Toronto,Men,16,2
City of Toronto,Men,16,2
City of Toronto,Men,16,2
City of Toronto,Men,32,4
City of Toronto,Men,32,4
City of Toronto,Men,32,4
City of Toronto,Men,32,4
Dixon Hall,Mixed Adult,41,5
Dixon Hall,Mixed Adult,25,3
City of Toronto,Mixed Adult,43,5
City of Toronto,Mixed Adult,43,5
City of Toronto,Men,43,5
City of Toronto,Men,43,5
City of Toronto,Men,43,5
City of Toronto,Men,61,7
City of Toronto,Men,61,7
City of Toronto,Men,61,7
City of Toronto,Men,61,7
City of Toronto,Men,61,7
City of Toronto,Men,61,7
City of Toronto,Men,61,7
Fife House Foundation,Mixed Adult,9,1
Fife House Foundation,Mixed Adult,9,1
Fife House Foundation,Mixed Adult,9,1
Fife House Foundation,Mixed Adult,9,1
Fife House Foundation,Mixed Adult,9,1
Fife House Foundation,Mixed Adult,9,1
Fife House Foundation,Mixed Adult,9,1
Fife House Foundation,Mixed Adult,9,1
Fred Victor Centre,Mixed Adult,54,6
Fred Victor Centre,Mixed Adult,54,6
City of Toronto,Mixed Adult,27,3
Fred Victor Centre,Mixed Adult,63,7
Fred Victor Centre,Mixed Adult,63,7
Fred Victor Centre,Mixed Adult,63,7
