PROPERTY TYPE,YEAR BUILT,CONFIRMED UNITS,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
PRIVATE,1960,26,74,43.709007221,-79.376131167
PRIVATE,1960,48,74,43.716980201,-79.400164813
PRIVATE,1961,33,74,43.668763043,-79.406936141
PRIVATE,1964,287,74,43.701969776,-79.345105079
PRIVATE,1965,380,74,43.70045036,-79.344507259
PRIVATE,1970,16,74,43.668304546,-79.312459034
TCHC,1970,15,74,43.7631593909,-79.2047559
PRIVATE,1972,11,74,43.7296930914,-79.4831794143
PRIVATE,1972,263,74,43.749810629,-79.543432658
TCHC,1974,48,74,43.729844838,-79.439645351
PRIVATE,1975,291,74,43.773718226,-79.522486744
TCHC,1993,51,74,43.662426775,-79.336914688
TCHC,2008,15,74,43.752199466,-79.543966801
PRIVATE,1917,10,75,43.6396109365,-79.4394716965
PRIVATE,1920,18,75,43.6726703072,-79.2866950453
PRIVATE,1920,16,75,43.6731843525,-79.2839314584
PRIVATE,1923,32,75,43.689052402,-79.41208972
PRIVATE,1926,11,75,43.659758114,-79.434864769
PRIVATE,1928,48,75,43.668210902,-79.381025994
PRIVATE,1940,14,75,43.687961104,-79.269766888
PRIVATE,1950,29,75,43.6852037341,-79.4451995496
PRIVATE,1954,23,75,43.697269464,-79.4763543388
PRIVATE,1956,11,75,43.732489237,-79.434967025
PRIVATE,1957,12,75,43.732993608,-79.435337662
PRIVATE,1958,55,75,43.7207964113,-79.5055990345
PRIVATE,1959,44,75,43.7010486833,-79.4499999014
PRIVATE,1960,12,75,43.693721495,-79.303248784
PRIVATE,1960,26,75,43.696310244,-79.506587145
PRIVATE,1960,10,75,43.7044391867,-79.4423269927
PRIVATE,1960,12,75,43.731056948,-79.463881566
PRIVATE,1960,10,75,43.736011622,-79.439339913
PRIVATE,1961,59,75,43.7351335266,-79.2685742385
PRIVATE,1965,41,75,43.735849503,-79.484562864
PRIVATE,1966,106,75,43.6952829956,-79.4482618257
PRIVATE,1968,12,75,43.692368796,-79.302666418
TCHC,1969,213,75,43.7624910264,-79.2104930971
PRIVATE,1970,24,75,43.651369768,-79.401162282
TCHC,1970,128,75,43.760034357,-79.229764837
SOCIAL HOUSING,1975,77,75,43.7031497325,-79.3474623763
TCHC,1984,176,75,43.733312244,-79.537225843
PRIVATE,1985,30,75,43.658992821,-79.442456173
PRIVATE,1900,28,76,43.6683620869,-79.3786856506
PRIVATE,1911,12,76,43.649465465,-79.432097969
PRIVATE,1925,16,76,43.668032007,-79.377921381
PRIVATE,1925,30,76,43.6684598397,-79.3083945127
PRIVATE,1951,12,76,43.6974801662,-79.5092622699
PRIVATE,1952,12,76,43.687577379,-79.348481091
PRIVATE,1952,12,76,43.6972925811,-79.3074870563
PRIVATE,1952,11,76,43.736373339,-79.484931855
PRIVATE,1955,22,76,43.6865568405,-79.422647444
PRIVATE,1957,27,76,43.6391002088,-79.4927582679
PRIVATE,1958,11,76,43.7449473955,-79.4355426861
PRIVATE,1959,20,76,43.7305607276,-79.3055621564
PRIVATE,1960,47,76,43.6158682454,-79.4878084713
PRIVATE,1960,11,76,43.7305618491,-79.4356927596
TCHC,1971,326,76,43.6991400934,-79.5152292852
PRIVATE,1972,370,76,43.762581653,-79.504256907
SOCIAL HOUSING,1987,45,76,43.662252242,-79.406937302
PRIVATE,1890,11,77,43.669877229,-79.403530164
PRIVATE,1900,74,77,43.638769687,-79.444880485
PRIVATE,1905,24,77,43.668834904,-79.404273749
PRIVATE,1912,38,77,43.639607448,-79.440903239
PRIVATE,1927,17,77,43.655410321,-79.395355053
PRIVATE,1930,26,77,43.7029512593,-79.3889169498
PRIVATE,1947,29,77,43.6345619465,-79.4922664925
PRIVATE,1950,51,77,43.638068798,-79.563940807
PRIVATE,1950,12,77,43.686360032,-79.446741086
PRIVATE,1951,12,77,43.6576935815,-79.3718742304
PRIVATE,1954,31,77,43.7193022696,-79.5173252308
PRIVATE,1954,54,77,43.7297667593,-79.3043160261
PRIVATE,1954,12,77,43.736711483,-79.48501293
PRIVATE,1955,57,77,43.7025056164,-79.3120345151
PRIVATE,1956,29,77,43.7077721579,-79.3852319597
PRIVATE,1959,10,77,43.714044601,-79.452602064
PRIVATE,1959,115,77,43.749611484,-79.54723458
PRIVATE,1960,44,77,43.636122132,-79.439605046
PRIVATE,1960,45,77,43.6926109398,-79.4780640156
PRIVATE,1961,77,77,43.740395354,-79.270793343
PRIVATE,1962,57,77,43.7552410078,-79.4893788755
PRIVATE,1964,109,77,43.711076734,-79.397812745
PRIVATE,1964,250,77,43.7414399001,-79.231653804
PRIVATE,1968,267,77,43.688636624,-79.50342902
PRIVATE,1968,142,77,43.7475535553,-79.282547131
TCHC,1971,201,77,43.779266937,-79.323413406
PRIVATE,1972,92,77,43.7565404948,-79.489787514
TCHC,1972,374,77,43.760168119,-79.507896791
TCHC,1986,132,77,43.65837995,-79.373485597
SOCIAL HOUSING,2007,14,77,43.655569612,-79.426134024
PRIVATE,1900,17,78,43.6364714077,-79.4388819579
PRIVATE,1900,36,78,43.710106124,-79.40052975
SOCIAL HOUSING,1910,23,78,43.640425518,-79.436224414
PRIVATE,1914,16,78,43.653685383,-79.466255527
PRIVATE,1920,25,78,43.672858863,-79.411257309
PRIVATE,1926,52,78,43.6880599836,-79.4241419779
PRIVATE,1937,97,78,43.687792561,-79.397433948
PRIVATE,1940,14,78,43.68817271,-79.269435846
PRIVATE,1944,16,78,43.71515813,-79.359256459
PRIVATE,1948,26,78,43.6783605408,-79.3950701921
PRIVATE,1954,28,78,43.6177159242,-79.4864921975
PRIVATE,1954,18,78,43.71394552,-79.364462065
PRIVATE,1955,63,78,43.688402926,-79.401606294
PRIVATE,1955,39,78,43.6964637317,-79.4032380661
PRIVATE,1956,11,78,43.719032062,-79.4807128716
PRIVATE,1956,11,78,43.732579372,-79.43469867
PRIVATE,1957,46,78,43.706451929,-79.478254085
TCHC,1957,31,78,43.719157062,-79.442145009
PRIVATE,1958,15,78,43.687956879,-79.491393198
PRIVATE,1958,24,78,43.753413504,-79.452055484
PRIVATE,1960,24,78,43.6728164425,-79.3184832171
PRIVATE,1960,39,78,43.6812983085,-79.4909278516
PRIVATE,1960,34,78,43.6867361824,-79.3548678509
PRIVATE,1961,251,78,43.741069981,-79.31303466
PRIVATE,1962,32,78,43.689996633,-79.411502636
PRIVATE,1964,38,78,43.744563537,-79.493977594
PRIVATE,1967,207,78,43.7089112814,-79.4794304788
PRIVATE,1969,177,78,43.7577107844,-79.4909188845
TCHC,1971,203,78,43.778310557,-79.323533534
PRIVATE,1972,258,78,43.750621289,-79.544032103
TCHC,1972,185,78,43.76703953,-79.195497441
PRIVATE,1977,22,78,43.663342704,-79.521030395
PRIVATE,1978,36,78,43.6377806623,-79.4379497225
PRIVATE,1914,13,79,43.6492006854,-79.4505020154
SOCIAL HOUSING,1916,15,79,43.682380018,-79.417661578
PRIVATE,1917,28,79,43.668954869,-79.380480475
PRIVATE,1929,24,79,43.652849679,-79.469860803
PRIVATE,1938,54,79,43.687399651,-79.398937696
TCHC,1941,36,79,43.7014745383,-79.4245394908
PRIVATE,1947,12,79,43.6843811107,-79.4210952142
PRIVATE,1950,23,79,43.6148862856,-79.4869596111
PRIVATE,1950,19,79,43.6528825044,-79.4321278569
PRIVATE,1950,31,79,43.708358407,-79.3011672055
PRIVATE,1950,12,79,43.7099657266,-79.4779872702
PRIVATE,1951,13,79,43.711282299,-79.3080213624
PRIVATE,1953,11,79,43.7314312704,-79.4622110913
PRIVATE,1954,31,79,43.7191256895,-79.5181150514
