PROPERTY TYPE,YEAR BUILT,CONFIRMED UNITS,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
PRIVATE,1958,26,84,43.708920433,-79.384300946
PRIVATE,1958,23,84,43.71442413,-79.362206452
PRIVATE,1958,55,84,43.7208314192,-79.5060339376
PRIVATE,1959,23,84,43.635816472,-79.491575949
SOCIAL HOUSING,1959,24,84,43.670497618,-79.313073089
PRIVATE,1960,39,84,43.653020008,-79.451921964
PRIVATE,1960,13,84,43.701030915,-79.25119809
PRIVATE,1960,86,84,43.7234367633,-79.4949764367
PRIVATE,1961,65,84,43.7290106156,-79.2769309728
PRIVATE,1961,67,84,43.7402910045,-79.3084921125
PRIVATE,1962,65,84,43.733390855,-79.347625086
PRIVATE,1963,100,84,43.7589413888,-79.2213676768
PRIVATE,1965,26,84,43.702756083,-79.4397938426
PRIVATE,1965,19,84,43.7034048782,-79.4948376318
PRIVATE,1965,52,84,43.709548032,-79.3831759737
PRIVATE,1965,54,84,43.7522249865,-79.4034227428
PRIVATE,1966,284,84,43.651457871,-79.39239786
TCHC,1966,92,84,43.717195772,-79.300999236
PRIVATE,1966,48,84,43.744081781,-79.495035439
PRIVATE,1967,38,84,43.640711037,-79.446594143
PRIVATE,1969,216,84,43.671869216,-79.406368935
PRIVATE,1970,17,84,43.636889686,-79.5635303983
PRIVATE,1971,324,84,43.687596199,-79.301189477
TCHC,1971,14,84,43.693720176,-79.516153969
TCHC,1972,201,84,43.7420099966,-79.5008716177
TCHC,1973,162,84,43.701195372,-79.547954529
TCHC,1974,345,84,43.7679927406,-79.185350274
PRIVATE,1978,153,84,43.801480967,-79.302703022
PRIVATE,1980,12,84,43.7097824646,-79.3100193403
SOCIAL HOUSING,1991,26,84,43.662450948,-79.368026345
TCHC,1993,48,84,43.6797322246,-79.3217059206
TCHC,1994,35,84,43.6656354324,-79.386388138
TCHC,1994,204,84,43.720003879,-79.603372534
PRIVATE,1904,32,85,43.661081408,-79.412672813
PRIVATE,1927,40,85,43.690921109,-79.342650483
PRIVATE,1929,18,85,43.679681068,-79.433946431
PRIVATE,1930,24,85,43.692681862,-79.396819192
PRIVATE,1930,27,85,43.713530331,-79.398012046
PRIVATE,1931,29,85,43.635897529,-79.432069219
PRIVATE,1935,32,85,43.689292945,-79.413320297
PRIVATE,1937,18,85,43.6871107357,-79.4206390043
SOCIAL HOUSING,1950,28,85,43.6667648172,-79.3456335069
PRIVATE,1950,11,85,43.6932514595,-79.4827536797
PRIVATE,1950,38,85,43.6985850004,-79.3720164996
PRIVATE,1950,10,85,43.699334797,-79.40593461
PRIVATE,1950,32,85,43.736205215,-79.44139433
PRIVATE,1950,11,85,43.738740299,-79.3434691076
PRIVATE,1952,12,85,43.6026815249,-79.5170398804
PRIVATE,1952,10,85,43.69920941,-79.40587277
PRIVATE,1954,22,85,43.688072015,-79.49346772
PRIVATE,1955,23,85,43.6009687445,-79.499480988
PRIVATE,1955,26,85,43.6497102952,-79.498711457
PRIVATE,1955,18,85,43.6500799543,-79.484335634
PRIVATE,1955,272,85,43.723761725,-79.402367148
PRIVATE,1956,12,85,43.6831820527,-79.4807822687
PRIVATE,1956,85,85,43.7083504804,-79.4265525477
PRIVATE,1957,23,85,43.6016913741,-79.5154841711
TCHC,1957,30,85,43.717910324,-79.443368577
PRIVATE,1958,35,85,43.6386262832,-79.4911761302
PRIVATE,1958,48,85,43.662865718,-79.504063965
PRIVATE,1958,66,85,43.675718937,-79.3175243078
PRIVATE,1959,62,85,43.665065952,-79.4034815
PRIVATE,1959,28,85,43.7284977107,-79.2991802272
PRIVATE,1960,61,85,43.684203196,-79.4203922096
PRIVATE,1960,10,85,43.6898644553,-79.4968078854
PRIVATE,1960,25,85,43.6932353032,-79.4795788454
PRIVATE,1960,110,85,43.701234202,-79.441021952
PRIVATE,1960,64,85,43.7270536549,-79.3169518381
PRIVATE,1961,62,85,43.7346483486,-79.268437993
PRIVATE,1962,103,85,43.6840527547,-79.565694704
PRIVATE,1962,65,85,43.7601853527,-79.3232568581
PRIVATE,1964,121,85,43.706670217,-79.39061631
PRIVATE,1964,56,85,43.7190096,-79.330401851
PRIVATE,1965,221,85,43.6568780412,-79.4624258737
PRIVATE,1965,30,85,43.722654944,-79.5130447411
PRIVATE,1965,13,85,43.753481576,-79.453303954
PRIVATE,1965,133,85,43.7621440095,-79.5199371956
PRIVATE,1966,188,85,43.7430013291,-79.1969715203
PRIVATE,1967,297,85,43.717178707,-79.332997055
PRIVATE,1967,45,85,43.729325196,-79.57582247
PRIVATE,1967,219,85,43.7606174266,-79.3350540559
TCHC,1969,301,85,43.668827347,-79.373701881
PRIVATE,1969,128,85,43.687299065,-79.300651307
PRIVATE,1969,83,85,43.7547279598,-79.3146445734
PRIVATE,1974,310,85,43.6464029439,-79.5294506955
TCHC,1974,375,85,43.7672342065,-79.1888137161
PRIVATE,1976,366,85,43.763239637,-79.409191362
PRIVATE,1977,184,85,43.648139694,-79.5237605383
PRIVATE,1977,40,85,43.6911592011,-79.5020724213
PRIVATE,1977,95,85,43.713102856,-79.479638531
PRIVATE,1977,254,85,43.749222652,-79.2207962727
TCHC,1989,128,85,43.6792629925,-79.3201512401
SOCIAL HOUSING,2012,32,85,43.65908018,-79.366823235
PRIVATE,1920,65,86,43.6660925039,-79.3867723149
PRIVATE,1929,72,86,43.6596564148,-79.3760533854
PRIVATE,1930,40,86,43.6844296831,-79.4244100118
PRIVATE,1932,16,86,43.6754276016,-79.277427743
PRIVATE,1935,40,86,43.705544597,-79.402852447
PRIVATE,1939,34,86,43.6883914125,-79.4208539018
PRIVATE,1941,52,86,43.695042733,-79.423481948
PRIVATE,1950,10,86,43.7106272814,-79.4788634923
PRIVATE,1952,63,86,43.688177664,-79.401518522
TCHC,1953,42,86,43.6391465077,-79.4377377181
PRIVATE,1953,14,86,43.701599074,-79.527506087
PRIVATE,1953,11,86,43.7118457801,-79.3075659646
PRIVATE,1954,30,86,43.6361245275,-79.4924603306
PRIVATE,1954,44,86,43.714141454,-79.363440204
PRIVATE,1955,19,86,43.6869650941,-79.420416441
TCHC,1956,75,86,43.710430484,-79.397121509
PRIVATE,1956,11,86,43.722488216,-79.2987114556
PRIVATE,1957,96,86,43.75259236,-79.261009026
PRIVATE,1958,63,86,43.673524685,-79.402146258
PRIVATE,1958,50,86,43.712405306,-79.397432102
PRIVATE,1958,79,86,43.7287077114,-79.2659054509
PRIVATE,1959,20,86,43.635705894,-79.436502748
PRIVATE,1959,49,86,43.685428165,-79.409063969
PRIVATE,1959,12,86,43.7099171147,-79.309915823
PRIVATE,1960,24,86,43.6389598462,-79.4872934251
PRIVATE,1960,45,86,43.6390524323,-79.4890660176
SOCIAL HOUSING,1960,77,86,43.653817451,-79.40412163
PRIVATE,1960,17,86,43.6929377292,-79.454744586
PRIVATE,1960,42,86,43.6987192629,-79.476784436
PRIVATE,1960,33,86,43.7369856,-79.446046582
PRIVATE,1960,11,86,43.7389927297,-79.3435489971
PRIVATE,1961,31,86,43.6721092112,-79.3028387259
PRIVATE,1961,120,86,43.694890667,-79.293643202
PRIVATE,1961,58,86,43.7194706389,-79.2404320451
PRIVATE,1961,48,86,43.732886366,-79.347858504
PRIVATE,1962,56,86,43.635752524,-79.429340078
PRIVATE,1962,34,86,43.6962315888,-79.3689911694
PRIVATE,1962,24,86,43.705269832,-79.4911827537
PRIVATE,1963,12,86,43.7312520976,-79.4835802979
PRIVATE,1963,66,86,43.739359679,-79.2426271
PRIVATE,1963,74,86,43.7715767413,-79.4441039119
PRIVATE,1965,152,86,43.6904194773,-79.350649972
PRIVATE,1966,319,86,43.7061382965,-79.341500497
PRIVATE,1966,40,86,43.7610772976,-79.5211616748
PRIVATE,1967,230,86,43.6854489,-79.4209261641
PRIVATE,1967,175,86,43.686628503,-79.4207223391
PRIVATE,1968,144,86,43.7474006174,-79.5159466744
PRIVATE,1968,52,86,43.7810845583,-79.2961863382
PRIVATE,1969,11,86,43.732716826,-79.436724648
PRIVATE,1969,33,86,43.7343403668,-79.2681240316
PRIVATE,1970,44,86,43.610690629,-79.48977037
PRIVATE,1970,223,86,43.7709054792,-79.3819188744
PRIVATE,1971,11,86,43.700017847,-79.2530664991
TCHC,1971,378,86,43.7808585866,-79.2318241185
TCHC,1971,198,86,43.787815708,-79.196116635
TCHC,1973,16,86,43.790476393,-79.369185506
PRIVATE,1974,154,86,43.769263441,-79.522810626
TCHC,1980,137,86,43.752566895,-79.518797427
SOCIAL HOUSING,1985,39,86,43.7602553262,-79.1959527881
SOCIAL HOUSING,1988,60,86,43.6582200015,-79.3706451728
SOCIAL HOUSING,1992,21,86,43.665100576,-79.461595606
TCHC,1994,55,86,43.6579290015,-79.3745956527
SOCIAL HOUSING,1994,59,86,43.752235605,-79.488646145
SOCIAL HOUSING,1995,13,86,43.669807539,-79.31766252
SOCIAL HOUSING,2011,50,86,43.656141544,-79.386162853
PRIVATE,1911,27,87,43.649350674,-79.429532272
PRIVATE,1917,48,87,43.636238103,-79.439018826
PRIVATE,1923,16,87,43.671968236,-79.29178994
PRIVATE,1928,68,87,43.682095678,-79.400866283
PRIVATE,1929,12,87,43.691956596,-79.39570523
PRIVATE,1930,16,87,43.6621204502,-79.4285552093
PRIVATE,1930,12,87,43.6839669504,-79.4195812784
PRIVATE,1931,38,87,43.6617262315,-79.3719593369
PRIVATE,1943,25,87,43.6649891625,-79.5216401905
PRIVATE,1949,18,87,43.6503326449,-79.4973659893
PRIVATE,1949,15,87,43.6839132294,-79.276016525
PRIVATE,1950,34,87,43.6740184548,-79.3778037961
PRIVATE,1950,11,87,43.730975673,-79.4363599981
PRIVATE,1952,26,87,43.6090936183,-79.4886161506
PRIVATE,1952,48,87,43.648996752,-79.494971996
PRIVATE,1952,34,87,43.686670483,-79.374860081
PRIVATE,1952,33,87,43.736271595,-79.44053564
TCHC,1954,52,87,43.710473457,-79.391890313
PRIVATE,1955,33,87,43.6988240231,-79.4343514595
PRIVATE,1956,66,87,43.635394732,-79.434902995
PRIVATE,1957,23,87,43.6403890443,-79.4907013619
PRIVATE,1957,15,87,43.6503199258,-79.4985552052
PRIVATE,1959,61,87,43.634373643,-79.435343202
PRIVATE,1959,59,87,43.6856691737,-79.4040338654
PRIVATE,1960,28,87,43.589021479,-79.544011345
PRIVATE,1960,80,87,43.635361871,-79.429350661
PRIVATE,1960,91,87,43.635459046,-79.435749561
PRIVATE,1960,26,87,43.6369083236,-79.4291371749
PRIVATE,1960,27,87,43.6370716153,-79.4291933844
PRIVATE,1960,221,87,43.668460296,-79.379959886
PRIVATE,1960,11,87,43.6737471581,-79.3071214297
PRIVATE,1960,57,87,43.6995188546,-79.4773216595
PRIVATE,1960,10,87,43.700640322,-79.406500628
PRIVATE,1960,78,87,43.703726864,-79.423164634
PRIVATE,1960,19,87,43.7189166403,-79.5582979655
PRIVATE,1960,81,87,43.7228254392,-79.4948470378
PRIVATE,1960,84,87,43.723087588,-79.4957736371
PRIVATE,1960,36,87,43.723413773,-79.431088371
PRIVATE,1960,60,87,43.7269029771,-79.3160560854
PRIVATE,1960,11,87,43.7308134722,-79.4346272545
PRIVATE,1960,19,87,43.733381348,-79.432711537
PRIVATE,1960,12,87,43.736202426,-79.34939102
PRIVATE,1960,33,87,43.736228569,-79.446122884
PRIVATE,1961,110,87,43.705350718,-79.424543299
PRIVATE,1962,47,87,43.697934721,-79.38501268
PRIVATE,1962,17,87,43.7198931386,-79.5585311012
PRIVATE,1962,72,87,43.761230364,-79.335262791
PRIVATE,1963,79,87,43.685922856,-79.406920969
TCHC,1963,47,87,43.693937882,-79.516889548
PRIVATE,1963,49,87,43.7525712767,-79.4059855057
TCHC,1964,223,87,43.705953312,-79.279044598
PRIVATE,1965,75,87,43.670080063,-79.405495723
PRIVATE,1965,104,87,43.706292347,-79.422652894
PRIVATE,1966,112,87,43.743508705,-79.31620178
PRIVATE,1966,38,87,43.744045267,-79.495145792
PRIVATE,1967,12,87,43.6009938518,-79.5179299016
PRIVATE,1967,145,87,43.70588244,-79.3966793
TCHC,1967,198,87,43.7155652564,-79.3046724013
PRIVATE,1967,138,87,43.7409655734,-79.2446148639
PRIVATE,1968,32,87,43.6373133386,-79.564053632
PRIVATE,1969,571,87,43.668417741,-79.370443646
PRIVATE,1969,381,87,43.6708658247,-79.3728064407
PRIVATE,1969,64,87,43.672709905,-79.40239631
PRIVATE,1970,113,87,43.6989642067,-79.2987112919
PRIVATE,1970,139,87,43.6991544673,-79.2978100309
PRIVATE,1970,246,87,43.7002035696,-79.2982003313
TCHC,1970,128,87,43.759551821,-79.230166356
PRIVATE,1970,128,87,43.768469253,-79.382764906
PRIVATE,1971,159,87,43.695136718,-79.290535808
PRIVATE,1971,108,87,43.6983104689,-79.2983347125
TCHC,1972,469,87,43.663061381,-79.357756445
TCHC,1974,253,87,43.701879441,-79.441477074
PRIVATE,1974,319,87,43.709758914,-79.401471688
PRIVATE,1974,197,87,43.7836229712,-79.2962340967
PRIVATE,1975,36,87,43.659567595,-79.480099741
TCHC,1979,350,87,43.6448379761,-79.5277127601
TCHC,1979,196,87,43.64755666,-79.370208586
SOCIAL HOUSING,1984,200,87,43.641079014,-79.427700755
SOCIAL HOUSING,1987,112,87,43.7328892774,-79.3065969199
SOCIAL HOUSING,1991,29,87,43.6587482686,-79.3702105377
SOCIAL HOUSING,1992,94,87,43.655863811,-79.455984017
SOCIAL HOUSING,1992,111,87,43.7399850336,-79.423996848
SOCIAL HOUSING,1994,100,87,43.7061669759,-79.4914250122
SOCIAL HOUSING,1996,132,87,43.6796722353,-79.4718686985
SOCIAL HOUSING,1997,128,87,43.647312711,-79.372960844
SOCIAL HOUSING,2004,32,87,43.690476097,-79.342379981
TCHC,2009,180,87,43.65255869,-79.365341193
SOCIAL HOUSING,1900,76,88,43.653659388,-79.372693049
PRIVATE,1920,32,88,43.6840547809,-79.4209132292
PRIVATE,1925,14,88,43.688801405,-79.410854956
PRIVATE,1927,15,88,43.689202016,-79.411218672
PRIVATE,1928,15,88,43.682181393,-79.419497914
PRIVATE,1930,15,88,43.658966191,-79.373018745
PRIVATE,1930,23,88,43.679604386,-79.434318956
PRIVATE,1930,26,88,43.713477488,-79.398290281
SOCIAL HOUSING,1940,12,88,43.6831736405,-79.3030579348
PRIVATE,1948,22,88,43.687863917,-79.4206373441
PRIVATE,1949,11,88,43.7422145294,-79.437433562
PRIVATE,1950,10,88,43.690864521,-79.265477585
PRIVATE,1950,28,88,43.728243017,-79.398104988
PRIVATE,1950,11,88,43.7388622795,-79.3416192822
PRIVATE,1952,40,88,43.736611247,-79.439571975
PRIVATE,1954,12,88,43.735338064,-79.484558662
PRIVATE,1955,25,88,43.6020354915,-79.5156367545
PRIVATE,1955,67,88,43.636155565,-79.435158153
PRIVATE,1955,15,88,43.7088608349,-79.38577257
PRIVATE,1955,21,88,43.7214377467,-79.4800527755
PRIVATE,1956,22,88,43.635353724,-79.49124561
PRIVATE,1956,28,88,43.636923954,-79.436212784
PRIVATE,1957,60,88,43.6027168332,-79.4930979742
PRIVATE,1957,37,88,43.6378675818,-79.4294602213
PRIVATE,1957,97,88,43.689882743,-79.435179809
PRIVATE,1957,111,88,43.752739742,-79.261076892
PRIVATE,1959,16,88,43.6157071247,-79.4949147117
PRIVATE,1959,37,88,43.685487692,-79.27497005
PRIVATE,1960,49,88,43.638729619,-79.564232582
PRIVATE,1960,55,88,43.680371012,-79.299397904
PRIVATE,1960,71,88,43.7040327966,-79.3417955997
PRIVATE,1960,105,88,43.7066838334,-79.5040013996
PRIVATE,1960,18,88,43.720768502,-79.40097412
PRIVATE,1960,61,88,43.7269110332,-79.3147057039
PRIVATE,1960,72,88,43.7318415798,-79.2729961142
PRIVATE,1960,17,88,43.763520596,-79.455038536
PRIVATE,1962,26,88,43.6646746732,-79.5222520533
PRIVATE,1962,47,88,43.6982740751,-79.5624045901
PRIVATE,1962,13,88,43.7183839907,-79.5579415318
PRIVATE,1963,118,88,43.589738824,-79.529723711
PRIVATE,1964,90,88,43.702592381,-79.342924935
PRIVATE,1964,88,88,43.7209375824,-79.2430985709
PRIVATE,1965,47,88,43.6143308517,-79.4872977904
PRIVATE,1965,112,88,43.7619582699,-79.3238669393
PRIVATE,1966,121,88,43.6883007663,-79.3508994916
PRIVATE,1966,308,88,43.705284648,-79.341449141
PRIVATE,1966,234,88,43.7543911907,-79.3162260546
PRIVATE,1966,112,88,43.755642859,-79.4356157794
PRIVATE,1967,85,88,43.673975859,-79.403304934
PRIVATE,1968,159,88,43.730125607,-79.509778711
PRIVATE,1969,321,88,43.655948159,-79.465424787
PRIVATE,1970,36,88,43.5920527461,-79.530753761
PRIVATE,1970,141,88,43.64088681,-79.564713058
PRIVATE,1970,17,88,43.6922639472,-79.4789792359
PRIVATE,1970,112,88,43.7002003087,-79.5172673603
TCHC,1970,94,88,43.7142950675,-79.2692166242
PRIVATE,1971,303,88,43.693121262,-79.301596009
PRIVATE,1971,584,88,43.695055074,-79.291784761
TCHC,1972,236,88,43.73164966,-79.277903946
TCHC,1972,389,88,43.79163957,-79.446195585
PRIVATE,1973,233,88,43.656888484,-79.465364295
PRIVATE,1973,102,88,43.659649469,-79.373395124
PRIVATE,1973,370,88,43.761108533,-79.503752985
PRIVATE,1975,12,88,43.8035984436,-79.1642967087
PRIVATE,1975,12,88,43.8038619612,-79.1641599515
PRIVATE,1977,38,88,43.6782886904,-79.3101324427
PRIVATE,1981,147,88,43.6676849352,-79.3890195894
PRIVATE,1982,238,88,43.6992222546,-79.2778348112
TCHC,1984,237,88,43.7435749087,-79.5669913807
TCHC,1990,110,88,43.7273367741,-79.4020576636
TCHC,1993,11,88,43.652192629,-79.396788053
PRIVATE,1838,12,89,43.6591658607,-79.3715926671
PRIVATE,1885,19,89,43.659551551,-79.372639262
PRIVATE,1910,18,89,43.6502220463,-79.4843917868
PRIVATE,1912,16,89,43.648423856,-79.424019412
PRIVATE,1915,20,89,43.691863282,-79.396100397
PRIVATE,1920,11,89,43.659043133,-79.373055668
PRIVATE,1920,32,89,43.6746856483,-79.2801413313
PRIVATE,1920,15,89,43.6842405143,-79.4116176413
PRIVATE,1925,24,89,43.6721682166,-79.2883005888
PRIVATE,1926,30,89,43.6655427276,-79.3805307384
PRIVATE,1926,36,89,43.6859949954,-79.4198611438
PRIVATE,1928,26,89,43.665272853,-79.378302265
PRIVATE,1928,24,89,43.66528769,-79.378618457
SOCIAL HOUSING,1929,29,89,43.6862643144,-79.4217422251
PRIVATE,1930,15,89,43.653120199,-79.451329542
PRIVATE,1930,24,89,43.679556649,-79.434507969
PRIVATE,1930,21,89,43.704458501,-79.406220747
PRIVATE,1930,67,89,43.719945154,-79.400723312
PRIVATE,1934,49,89,43.691498395,-79.394776135
PRIVATE,1940,30,89,43.642552067,-79.448199755
SOCIAL HOUSING,1950,25,89,43.6481742891,-79.4902420295
PRIVATE,1950,24,89,43.6778634495,-79.3588173792
PRIVATE,1950,27,89,43.701892029,-79.420288428
PRIVATE,1950,16,89,43.7196647917,-79.5577092738
PRIVATE,1950,11,89,43.7304397598,-79.4596132017
PRIVATE,1951,12,89,43.7030609955,-79.4261250612
PRIVATE,1952,26,89,43.6090432374,-79.4898363283
PRIVATE,1952,66,89,43.646685099,-79.4485785795
PRIVATE,1952,13,89,43.662211246,-79.520546563
PRIVATE,1952,34,89,43.6641680509,-79.5231261637
PRIVATE,1953,11,89,43.7117264202,-79.3076717608
PRIVATE,1954,192,89,43.7371458262,-79.2565312101
PRIVATE,1955,34,89,43.6648936941,-79.522593185
PRIVATE,1955,46,89,43.7390527397,-79.4243280269
PRIVATE,1955,11,89,43.7421552614,-79.4365679609
PRIVATE,1955,11,89,43.743072408,-79.4368800635
PRIVATE,1956,25,89,43.674781847,-79.38361137
PRIVATE,1956,117,89,43.685675216,-79.416929405
PRIVATE,1956,48,89,43.689964772,-79.3476769455
PRIVATE,1956,12,89,43.6934951479,-79.4820055643
PRIVATE,1956,16,89,43.7085088591,-79.2998972117
PRIVATE,1956,30,89,43.726834232,-79.3021111159
PRIVATE,1957,59,89,43.674434569,-79.379291222
PRIVATE,1958,26,89,43.6838042523,-79.4870901288
PRIVATE,1958,11,89,43.7102484483,-79.4788199831
PRIVATE,1958,60,89,43.7275858638,-79.3190299977
PRIVATE,1959,124,89,43.672819085,-79.395361896
PRIVATE,1959,47,89,43.690409504,-79.345192362
PRIVATE,1959,78,89,43.6942406166,-79.4549873652
PRIVATE,1960,80,89,43.63511061,-79.435653216
PRIVATE,1960,32,89,43.6580102067,-79.4883644142
PRIVATE,1960,143,89,43.663901127,-79.376612139
PRIVATE,1960,34,89,43.7048608141,-79.4976836362
PRIVATE,1960,27,89,43.7107990699,-79.2702992344
PRIVATE,1960,18,89,43.72086112,-79.55824156
PRIVATE,1960,59,89,43.7309861519,-79.3047834793
PRIVATE,1960,72,89,43.7316750326,-79.2734533673
PRIVATE,1960,29,89,43.73995556,-79.270578917
PRIVATE,1960,43,89,43.7420240548,-79.3085552863
PRIVATE,1960,28,89,43.7422578587,-79.4357863772
PRIVATE,1961,55,89,43.7416741492,-79.5406112434
PRIVATE,1961,39,89,43.7431036198,-79.3070051699
PRIVATE,1962,23,89,43.6352649375,-79.4919665857
PRIVATE,1962,69,89,43.737103926,-79.342018814
PRIVATE,1962,100,89,43.7587421,-79.2223171477
PRIVATE,1963,101,89,43.667962528,-79.382564773
PRIVATE,1963,205,89,43.710193367,-79.394707661
PRIVATE,1964,210,89,43.7039163389,-79.4253300731
PRIVATE,1964,51,89,43.7101170493,-79.3836293624
PRIVATE,1965,216,89,43.6551760526,-79.4635445637
PRIVATE,1965,196,89,43.675673246,-79.392857876
PRIVATE,1965,115,89,43.7457790355,-79.2618378505
PRIVATE,1965,258,89,43.746940764,-79.488468802
PRIVATE,1965,164,89,43.7801532474,-79.3463837726
PRIVATE,1966,163,89,43.7793188069,-79.3498546485
PRIVATE,1967,198,89,43.7688139457,-79.3473075283
PRIVATE,1968,40,89,43.6782330421,-79.4969313119
PRIVATE,1968,172,89,43.706537983,-79.403386592
TCHC,1968,97,89,43.7145219871,-79.2681489006
PRIVATE,1968,118,89,43.7476852259,-79.5146324564
PRIVATE,1969,149,89,43.709455686,-79.386891755
TCHC,1969,192,89,43.72687441,-79.265289789
PRIVATE,1970,23,89,43.5918858428,-79.5306544291
PRIVATE,1970,284,89,43.6959726218,-79.2874840709
PRIVATE,1970,350,89,43.7054180727,-79.4894721065
PRIVATE,1970,154,89,43.729239154,-79.509192255
PRIVATE,1970,286,89,43.7654302303,-79.3443358391
PRIVATE,1971,35,89,43.691627521,-79.434491531
PRIVATE,1971,186,89,43.7829393273,-79.2995706265
TCHC,1973,391,89,43.7005890595,-79.5159933375
PRIVATE,1978,227,89,43.749099512,-79.584064323
PRIVATE,1979,238,89,43.807552003,-79.272681054
TCHC,1980,148,89,43.6013719933,-79.501536643
SOCIAL HOUSING,1983,258,89,43.7131568657,-79.4551622078
SOCIAL HOUSING,1983,130,89,43.7518743453,-79.438030916
SOCIAL HOUSING,1985,109,89,43.7043074064,-79.3469915731
PRIVATE,1986,25,89,43.68453315,-79.391046883
TCHC,1986,239,89,43.7759712605,-79.4152224497
SOCIAL HOUSING,1992,28,89,43.79936022,-79.150044554
TCHC,1993,102,89,43.648548433,-79.370253431
SOCIAL HOUSING,1993,44,89,43.672536977,-79.446435464
SOCIAL HOUSING,1996,80,89,43.66049693,-79.336536519
PRIVATE,1996,102,89,43.698770876,-79.397276935
PRIVATE,1888,17,90,43.665633289,-79.368248349
PRIVATE,1915,42,90,43.671655465,-79.323701099
PRIVATE,1918,16,90,43.6500184569,-79.4508259143
PRIVATE,1918,30,90,43.680695002,-79.416986377
PRIVATE,1926,36,90,43.6855675188,-79.4196915676
PRIVATE,1930,16,90,43.6838687867,-79.4195252929
PRIVATE,1932,11,90,43.643432753,-79.4253164727
PRIVATE,1939,19,90,43.636137103,-79.429522246
PRIVATE,1940,27,90,43.6673333722,-79.3809735781
PRIVATE,1950,30,90,43.6115410495,-79.489468582
PRIVATE,1950,31,90,43.685885734,-79.4229628704
PRIVATE,1950,26,90,43.6866220791,-79.3348314458
PRIVATE,1950,12,90,43.7191723913,-79.4799616805
PRIVATE,1950,10,90,43.722668083,-79.306350662
PRIVATE,1950,40,90,43.7330607404,-79.340845323
SOCIAL HOUSING,1950,10,90,43.7447105707,-79.4354450198
PRIVATE,1952,16,90,43.710358471,-79.290289103
PRIVATE,1952,16,90,43.710464421,-79.289768607
PRIVATE,1953,52,90,43.705024326,-79.425827726
PRIVATE,1954,28,90,43.6903808073,-79.3529674197
PRIVATE,1954,50,90,43.7359936436,-79.2687949142
PRIVATE,1955,23,90,43.636668486,-79.436114356
PRIVATE,1955,47,90,43.6852027007,-79.4736170741
PRIVATE,1955,36,90,43.7273459768,-79.3025559656
PRIVATE,1955,11,90,43.7419930803,-79.4364254778
PRIVATE,1956,38,90,43.7274308243,-79.3009591644
PRIVATE,1957,27,90,43.63650442,-79.4877435636
TCHC,1957,31,90,43.718500015,-79.447329934
PRIVATE,1957,26,90,43.7260668342,-79.4036329242
PRIVATE,1958,35,90,43.692772378,-79.483091733
PRIVATE,1958,20,90,43.7350794611,-79.2480505493
PRIVATE,1959,91,90,43.634808178,-79.434763919
PRIVATE,1959,29,90,43.6639708719,-79.5021353711
PRIVATE,1959,60,90,43.7037023569,-79.3467690026
PRIVATE,1959,87,90,43.705178016,-79.425108275
PRIVATE,1959,36,90,43.7096715692,-79.3877050261
PRIVATE,1960,15,90,43.6035699967,-79.4939393682
PRIVATE,1960,121,90,43.699454099,-79.517762353
PRIVATE,1960,130,90,43.714919516,-79.55750237
PRIVATE,1960,130,90,43.715262532,-79.556650611
PRIVATE,1960,11,90,43.7306713451,-79.4374893371
PRIVATE,1960,26,90,43.7387605679,-79.4255772221
PRIVATE,1960,115,90,43.7405750446,-79.5143347224
PRIVATE,1960,40,90,43.743273862,-79.487672479
PRIVATE,1960,202,90,43.7565096904,-79.4367503453
PRIVATE,1960,21,90,43.7569401059,-79.2882167684
PRIVATE,1960,170,90,43.7888662031,-79.4463491989
PRIVATE,1961,13,90,43.708279246,-79.410640011
PRIVATE,1961,37,90,43.714028439,-79.364118503
PRIVATE,1961,71,90,43.7711135877,-79.442973232
PRIVATE,1962,78,90,43.703946444,-79.424475355
PRIVATE,1962,78,90,43.7270242372,-79.315596986
PRIVATE,1963,102,90,43.751505712,-79.402827155
PRIVATE,1964,228,90,43.70953529,-79.392399206
PRIVATE,1964,67,90,43.7328848087,-79.3055213856
PRIVATE,1964,84,90,43.7404592839,-79.2437182596
PRIVATE,1965,60,90,43.693337997,-79.396456433
PRIVATE,1965,11,90,43.739250167,-79.3428089774
PRIVATE,1966,80,90,43.7485751194,-79.437302788
PRIVATE,1967,222,90,43.759658618,-79.3350153122
PRIVATE,1967,65,90,43.7676449772,-79.2698659258
PRIVATE,1967,180,90,43.7818416283,-79.3541987634
TCHC,1968,257,90,43.650817742,-79.40050764
PRIVATE,1968,427,90,43.6665543282,-79.3792025495
TCHC,1968,304,90,43.6726977491,-79.4906805093
PRIVATE,1968,170,90,43.7797579153,-79.3477938007
TCHC,1969,36,90,43.726760854,-79.263575088
PRIVATE,1969,120,90,43.7862798518,-79.4468276481
PRIVATE,1970,96,90,43.7441364184,-79.5943268787
PRIVATE,1970,88,90,43.7620489485,-79.211440469
PRIVATE,1970,370,90,43.7629761181,-79.502065617
PRIVATE,1971,34,90,43.681735253,-79.281298195
PRIVATE,1971,94,90,43.729677828,-79.276229104
PRIVATE,1974,167,90,43.7947061514,-79.315638344
PRIVATE,1978,390,90,43.764180371,-79.505752773
TCHC,1979,189,90,43.656896921,-79.40179055
