YEAR BUILT,PROPERTY TYPE,WARD,COSMETIC EVALUATION,MODERATE RISK EVALUATION,HIGH RISK EVALUATION,CURRENT BUILDING EVAL SCORE
1964,TCHC,20,2.7,2.57,2.63,87
1964,TCHC,13,2.44,2.7,2.93,92
1965,TCHC,1,1.9,2.2,2.81,83
1965,TCHC,19,2.8,2.95,2.94,98
1966,TCHC,19,2.2,2.4,2.63,84
1967,TCHC,5,2.6,2.72,2.87,93
1967,TCHC,19,2.3,2.53,2.69,86
1967,TCHC,19,0,0.91,1.4,37
1968,TCHC,5,2.5,2.67,2.73,89
1968,TCHC,9,2.5,2.16,2.53,79
1968,TCHC,10,2.7,2.7,2.69,90
1968,TCHC,20,2.78,2.56,2.79,89
1969,TCHC,20,2,2.58,2.8,87
1969,TCHC,13,2.4,2.8,2.87,93
1969,TCHC,24,2.2,2,2.47,74
1969,TCHC,13,2.5,2.5,2.6,85
1969,TCHC,4,2.2,2.3,2.67,82
1969,TCHC,19,1.6,2,2.4,71
1969,TCHC,20,2.7,2.69,2.73,87
1969,TCHC,7,2.6,2.84,2.81,94
1970,TCHC,13,2.3,2.29,2.57,80
1970,TCHC,24,2.5,2.74,2.53,87
1970,TCHC,5,2.7,2.8,3,96
1970,TCHC,7,2.5,2.4,2.44,81
1970,TCHC,20,2.8,2.55,2.69,88
1970,TCHC,21,2.7,2.74,2.87,93
1970,TCHC,18,2.89,2.89,2.8,95
1970,TCHC,24,1.89,2.07,2.42,73
