Website Name,Sessions,Views,Avg View Time (Sec),Bounce Rate %
Affordable Rental Homes||www.toronto.ca/community-people/community-partners/housing-partners/affordable-rental-homes/,54491,64869,197.0969667037083,0.5503110605421079
Animal Licensing (epet) - City Of Toronto||secure.toronto.ca/epet/main.do,54391,64440,29.15446318028842,0.09172473387141256
Covid-19: Pandemic Data||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/respiratory-viruses/covid-19/covid-19-pandemic-data/,54346,62771,23.15489615584533,0.26645935303426194
Online Submission||www.toronto.ca/home/jobs/information-for-applicants/recruitment-initiatives/recreation-jobs/returning-recreation-worker-scheduling/online-submission/,54290,63210,308.6124423729672,0.5896666052680052
Toronto History Museums||www.toronto.ca/explore-enjoy/history-art-culture/museums/,52930,64755,62.53586546491203,0.44687322879274516
Items Accepted At Drop-off Depots||www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/accepted-items/,52712,66917,54.14327282804489,0.11780998634087114
Toronto Public Health||www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/toronto-public-health/,52377,59667,83.71804324001195,0.28397960937052524
"Venues, Facilities & Bookings||www.toronto.ca/services-payments/venues-facilities-bookings/",52345,64648,28.34540350124278,0.05138981755659566
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/287/index.html,52177,60942,190.7818592697625,0.5400655461218544
Neighbourhood Profiles||www.toronto.ca/city-government/data-research-maps/neighbourhoods-communities/neighbourhood-profiles/,51871,66259,31.793265642627787,0.08143278517861618
Homeless Help||www.toronto.ca/community-people/housing-shelter/homeless-help/,51702,63064,70.81921368280764,0.21208077056980387
Toronto Employment & Social Services Locations||www.toronto.ca/community-people/employment-social-support/employment-support/toronto-employment-and-social-services-locations/,50196,59251,166.7587146869321,0.5037851621643159
Covid-19: What To Do If You Are A Close Contact||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/respiratory-viruses/covid-19/covid-19-what-you-should-do/covid-19-what-to-do-if-you-are-a-close-contact/,49997,59455,162.70553682705076,0.5188511310678641
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/3643/index.html,48977,58540,205.99899638699318,0.6015476652306184
Translate||www.toronto.ca/home/translate/,48294,72256,81.1511379148754,0.08129374249389158
Spadina Museum||www.toronto.ca/explore-enjoy/history-art-culture/museums/spadina-museum/,48275,57052,169.97611247611246,0.525675815639565
Court Case Look Up - Triallist||secure.toronto.ca/courtcaselookup/triallist.jsf,48045,240431,79.02226110155237,0.003101259236132792
Allan Gardens Conservatory||www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/allan-gardens-conservatory/,46872,54159,151.04610622352558,0.558115719406042
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/567/index.html,46834,56709,186.12123674114196,0.5406115215441774
Water Rates & Fees||www.toronto.ca/services-payments/property-taxes-utilities/utility-bill/water-rates-fees/,46643,53668,211.31682474226804,0.3785777072658277
When Do I Need A Building Permit?||www.toronto.ca/services-payments/building-construction/apply-for-a-building-permit/when-do-i-need-a-building-permit/,45908,54900,193.8754055073557,0.4004966454648427
Free Dental Care||www.toronto.ca/community-people/health-wellness-care/health-programs-advice/dental-and-oral-health-services/free-dental-care/,45383,55503,81.7344428594072,0.3971751536919111
How To Get Hired In Recreation||www.toronto.ca/home/jobs/information-for-applicants/recruitment-initiatives/recreation-jobs/new-applicants/how-to-get-hired-in-recreation/,45221,60668,165.83097626956135,0.4045907874660003
Fireworks||www.toronto.ca/city-government/public-notices-bylaws/bylaw-enforcement/fireworks/,44461,47777,146.6259155679851,0.8356087357459346
City Of Toronto Archives||www.toronto.ca/city-government/accountability-operations-customer-service/access-city-information-or-records/city-of-toronto-archives/,44322,54546,164.88111191286123,0.4160462073011146
Fort York National Historic Site||www.toronto.ca/explore-enjoy/history-art-culture/museums/fort-york-national-historic-site/,44198,50026,183.939908477842,0.591429476446898
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/1089/index.html,43940,51332,118.19177155934672,0.4924897587619481
Housing & Shelter||www.toronto.ca/community-people/housing-shelter/,43678,53099,62.1752511925302,0.18950043500160263
Applying For Ontario Disability Support Program Through Ontario Works||www.toronto.ca/community-people/employment-social-support/support-for-people-in-financial-need/assistance-through-ontario-works/applying-for-ontario-disability-support-program-through-ontario-works/,43234,46496,255.02515321756894,0.8137576907063885
"Business Regulations, Licences & Permits||www.toronto.ca/business-economy/new-businesses-startups/business-regulations/",43207,55343,148.3654443004791,0.30712616011294464
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/891/index.html,42891,51022,194.59268218929543,0.5249819309412231
Page Not Found||www.toronto.ca/ext/error/something-went-wrong.html,42754,67341,95.99066038515579,0.3454413622117229
Animal Licensing (epet) - City Of Toronto||secure.toronto.ca/epet/entertag.do,42649,49618,48.08456772921177,0.010762268751905085
Prevent Or Thaw Frozen Pipes||www.toronto.ca/services-payments/water-environment/your-water-pipes-meter/water-related-help-advice/prevent-or-thaw-frozen-pipes/,42381,45531,205.752508361204,0.89087090913381
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/509/index.html,42001,50303,163.87054662940972,0.445894145377491
Step 4: Obtain A Marriage Certificate||www.toronto.ca/services-payments/venues-facilities-bookings/getting-married/step-4-congratulations/,41193,49338,134.38697001034126,0.427208506299614
New Businesses & Startups||www.toronto.ca/business-economy/new-businesses-startups/,40992,49385,63.03451137177988,0.46928669008587043
Animal Shelters||www.toronto.ca/community-people/animals-pets/animal-shelters/,40974,49317,75.27502194907814,0.18099282471811393
Parking Violation Fees||www.toronto.ca/services-payments/tickets-fines-penalties/dispute/new-parking-violation-dispute-process/fees-disputing-a-parking-violation/,39756,47556,77.98543026706231,0.07895663547640608
Vehicle-for-hire Bylaw Updates||www.toronto.ca/city-government/accountability-operations-customer-service/long-term-vision-plans-and-strategies/vehicle-for-hire/vehicle-for-hire-bylaw/vehicle-for-hire-bylaw-updates/,39632,48108,207.0437084197725,0.6710486475575292
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/58/index.html,39600,45688,160.57411129919595,0.48292929292929293
Online Forms For Courts||www.toronto.ca/services-payments/tickets-fines-penalties/courts/online-forms/,39293,47165,235.89089443996778,0.37869340595016926
Step 2: Plan Your Wedding Ceremony||www.toronto.ca/services-payments/venues-facilities-bookings/getting-married/step-2-planning-the-big-day/,39131,50977,129.09002145589105,0.14456568960670568
Property Tax Calculator||www.toronto.ca/services-payments/property-taxes-utilities/property-tax/property-tax-calculator/,38786,43550,14.273012773144726,0.08871757850770896
Houses||www.toronto.ca/services-payments/recycling-organics-garbage/houses/,37925,46069,26.543837059580945,0.03069215557020435
Accessible Parking Permits||www.toronto.ca/services-payments/streets-parking-transportation/sidewalk-tours-wayfinding/accessible-streets/accessible-parking-permits/,37432,43843,273.12929073103174,0.7380850609104509
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/798/index.html,37315,44346,85.00475530017832,0.49060699450623074
Skate Lending Library||www.toronto.ca/explore-enjoy/recreation/skating-winter-sports/public-leisure-skating/skate-lending-library/,37263,45473,111.43886049049452,0.5830448434103535
Collective Agreements||www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/collective-agreements/,37214,43392,381.97478446277927,0.6730800236470146
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/3732/index.html,36246,44049,207.71678279673233,0.5537714506428295
Long-term Care Homes||www.toronto.ca/community-people/housing-shelter/rental-housing-tenant-information/finding-housing/long-term-care-homes/,35892,45109,92.27683967620234,0.3510810208402987
Long-term Care Homes Visitor Log||www.toronto.ca/community-people/housing-shelter/rental-housing-tenant-information/finding-housing/long-term-care-homes/covid-19-long-term-care-homes-screener/,35856,49050,384.8652037617555,0.6847110664881749
Parks Listings||www.toronto.ca/data/parks/prd/facilities/parks/index.html,35433,49491,50.97674900315882,0.07699037620297462
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/892/index.html,35164,42508,167.05924300603402,0.48447275622796043
Fees For Drop-off Depots||www.toronto.ca/services-payments/recycling-organics-garbage/drop-off-depots/fees-for-drop-off-depots/,34889,39561,137.56550349877196,0.17097079308664623
Cframe||www.toronto.ca/data/parks/prd/skating/dropin/hockey/index.html,34053,39615,217.7180213191206,0.5938683816403841
Cframe||www.toronto.ca/data/parks/prd/facilities/complex/499/index.html,33397,40030,157.8195063776833,0.41994789951193223
Parking Violation Dispute Complaints Process (aps)||www.toronto.ca/services-payments/tickets-fines-penalties/dispute/new-parking-violation-dispute-process/parking-violation-dispute-complaints-process-aps/,33181,43509,67.87802487116289,0.08257737862029475
