UNITTYPE,DIAM,OWN,BOTNAME,LONGITUDE,LATITUDE
MULTI,25,MISS,EASTERN WHITE CEDAR,-79.6337125366532,43.5287404267659
DECID,11,PEEL,NORWAY MAPLE,-79.6539969235791,43.5287438038012
DECID,34,HYDRO,ASH SPP.,-79.6587147211045,43.5287456420954
DECID,6,MISS,IVORY SILK JAPANESE LILAC,-79.6322155176957,43.5287458454825
DECID,20,MISS,NORWAY MAPLE,-79.6514061115161,43.5287472148668
MULTI,32,MISS,EASTERN WHITE CEDAR,-79.6337290861641,43.5287473776515
DECID,23,MISS,HONEY LOCUST,-79.6558842791343,43.5287483625044
DECID,27,MISS,LINDEN,-79.6396954870698,43.528748478506
DECID,27,MISS,FLOWERING CRAB APPLE,-79.6609946530841,43.5287513390218
DECID,39,MISS,HONEY LOCUST,-79.6619534641195,43.5287520308294
DECID,21,MISS,NORWAY MAPLE,-79.6646429363906,43.5287528646657
MULTI,11,MISS,RUSSIAN OLIVE,-79.6425031802841,43.5287530409542
DECID,46,HYDRO,ASH SPP.,-79.6587202906593,43.5287593846202
DECID,33,MISS,NORWAY MAPLE,-79.6403186930554,43.5287597644141
CONFIR,12,MISS,COLORADO BLUE SPRUCE,-79.6748121626753,43.5287609002225
CONFIR,49,MISS,COLORADO BLUE SPRUCE,-79.6344663169772,43.5287610128812
DECID,24,HYDRO,ASH SPP.,-79.6586995395762,43.5287623806204
MULTI,9,MISS,RUSSIAN OLIVE,-79.6424833642132,43.5287647811191
CONFIR,7,MISS,COLORADO BLUE SPRUCE,-79.6589371751507,43.5287674694771
DECID,6,MISS,GREENSPIRE LINDEN,-79.6679404204001,43.5287696356566
DECID,19,MISS,NORWAY MAPLE,-79.6644186985726,43.5287696939938
DECID,13,MISS,NORWAY MAPLE,-79.6652286083965,43.5287716799927
DECID,22,MISS,HONEY LOCUST,-79.6611672005882,43.5287719984969
DECID,9,PEEL,NORWAY MAPLE,-79.6540487598261,43.5287723269094
DECID,30,MISS,SILVER MAPLE,-79.6797531702634,43.5287731399211
DECID,42,MISS,LINDEN,-79.6341603419478,43.5287755816254
DECID,5,MISS,FLOWERING CRAB APPLE,-79.6590002042424,43.5287768528203
DECID,6,MISS,SKYLINE LOCUST,-79.6480087411978,43.5287814595878
CONFIR,8,MISS,COLORADO GREEN SPRUCE,-79.6589011929016,43.5287828946182
MULTI,9,MISS,RUSSIAN OLIVE,-79.6424589448443,43.5287831296646
MULTI,10,MISS,RED MAPLE,-79.6271178414979,43.5287834234712
DECID,24,MISS,EASTERN WHITE CEDAR,-79.6683302771816,43.5287847125574
MULTI,40,MISS,COLORADO BLUE SPRUCE,-79.6335700884179,43.5287847352065
DECID,6,MISS,OHIO BUCKEYE,-79.665480741993,43.5287886933119
DECID,6,MISS,SKYLINE LOCUST,-79.6394668788378,43.5287920800931
