YEAR BUILT,PROPERTY TYPE,LATITUDE,LONGITUDE,COSMETIC,HIGH,MODERATE,OVERALL
1972,PRIVATE,43.684207834,-79.515231582,2.7,2.8,2.7,89
1929,PRIVATE,43.689658208,-79.413490669,2.7,2.5,2.5,83
1926,PRIVATE,43.6857351417,-79.419761989,2.8,3,2.3,88
1995,TCHC,43.6625963867,-79.3770996431,2.6,2.8,2.6,90
2009,SOCIAL HOUSING,43.687068676,-79.422360062,2,2.6,2.2,82
1995,SOCIAL HOUSING,43.663039249,-79.32501186,2.7,2.8,2.7,90
