YEAR BUILT,PROPERTY TYPE,LATITUDE,LONGITUDE,COSMETIC,HIGH,MODERATE,OVERALL
1937,PRIVATE,43.687102147,-79.420635756,2.8,2.5,2.6,84
1949,PRIVATE,43.742267263,-79.437722387,2.4,2.6,2.3,84
1950,PRIVATE,43.740911105,-79.421071496,2.6,2.4,2.6,84
1950,PRIVATE,43.7046543279,-79.3688048748,2.8,2.5,2.5,84
1950,PRIVATE,43.701949088,-79.420034858,2.9,2.4,2.6,84
1950,PRIVATE,43.7198292201,-79.5150038908,2.6,2.6,2.4,84
1950,PRIVATE,43.7112636498,-79.4790421102,2.3,2.7,2.3,84
1951,PRIVATE,43.71157371,-79.307769743,2.1,2.8,2.3,84
1952,PRIVATE,43.736373339,-79.484931855,2.6,2.7,2.1,84
1952,PRIVATE,43.696978593,-79.404812013,2.5,2.5,2.4,84
1953,PRIVATE,43.711974669,-79.307461102,2,2.7,2.3,84
1953,PRIVATE,43.721513922,-79.480429745,2.6,2.7,2.3,84
1954,PRIVATE,43.743414057,-79.437004804,3,2.5,2.6,84
1954,PRIVATE,43.709643211,-79.310113927,2.6,2.5,2.5,84
1954,PRIVATE,43.736204601,-79.484886345,2.5,2.5,2.5,84
1954,PRIVATE,43.6380615683,-79.4937696446,2.7,2.5,2.4,84
1954,PRIVATE,43.689065755,-79.419580207,2.4,2.5,2.6,84
1955,PRIVATE,43.7303895479,-79.4363698619,2.7,2.5,2.5,84
1955,PRIVATE,43.6852816558,-79.4214805107,2.5,2.6,2.1,84
1955,PRIVATE,43.6932267,-79.441786893,2.6,2.4,2.7,84
1955,TCHC,43.706344038,-79.4898898343,2.9,2.6,2.5,84
1955,PRIVATE,43.6109821847,-79.4903809388,1.7,2.9,2.1,84
1955,PRIVATE,43.741825656,-79.437193899,3,2.4,2.7,84
1955,PRIVATE,43.715706646,-79.4800366,2.9,2.5,2.4,84
1956,PRIVATE,43.637018605,-79.488272958,1.7,2.7,2.4,84
1956,PRIVATE,43.69827316,-79.395582157,2.2,2.6,2.5,84
1956,PRIVATE,43.732486121,-79.437718612,2.7,2.5,2.6,84
1956,PRIVATE,43.711378231,-79.396038937,2.1,2.6,2.5,84
1957,PRIVATE,43.6927850495,-79.4417092331,1.8,2.8,2.2,84
1957,TCHC,43.718729604,-79.446039813,1.7,2.5,2.5,84
1957,PRIVATE,43.6788159908,-79.2997075141,2,2.6,2.4,84
1957,PRIVATE,43.706451929,-79.478254085,2.7,2.6,2.3,84
1957,TCHC,43.719157062,-79.442145009,2.1,2.5,2.5,84
1957,PRIVATE,43.7379997073,-79.2696666351,2.5,2.6,2.3,84
1958,PRIVATE,43.735229265,-79.24781527,2.6,2.6,2.4,84
1958,PRIVATE,43.669364101,-79.407141875,2.7,2.4,2.6,84
1958,PRIVATE,43.728699099,-79.265902249,2.4,2.7,2.3,84
1958,PRIVATE,43.708920433,-79.384300946,2.7,2.5,2.5,84
1958,PRIVATE,43.715203739,-79.359687151,2.6,2.6,2.4,84
1958,PRIVATE,43.71442413,-79.362206452,2.2,2.8,2.3,84
1959,SOCIAL HOUSING,43.670497618,-79.313073089,2.7,2.4,2.7,84
1959,PRIVATE,43.635816472,-79.491575949,1.8,2.7,2.3,84
1960,PRIVATE,43.636899745,-79.429133928,2.3,2.5,2.5,84
1960,PRIVATE,43.653020008,-79.451921964,1.7,2.6,2.5,84
1960,PRIVATE,43.703726864,-79.423164634,2.5,2.4,2.4,84
1960,PRIVATE,43.701030915,-79.25119809,2,2.5,2.5,84
1960,PRIVATE,43.723428171,-79.494973161,2.5,2.8,2.3,84
1961,PRIVATE,43.741665557,-79.540607953,2.5,2.6,2.2,84
1962,PRIVATE,43.718686691,-79.329087808,2.7,2.5,2.5,84
1962,PRIVATE,43.7103310717,-79.2701499955,2.4,2.5,2.5,84
1962,PRIVATE,43.770291992,-79.443411311,2.5,2.6,2.3,84
1964,PRIVATE,43.7552486601,-79.2439639688,2.9,2.4,2.6,84
1964,PRIVATE,43.711076734,-79.397812745,2.5,2.5,2.4,84
1964,PRIVATE,43.701969776,-79.345105079,2.8,2.6,2.3,84
1964,PRIVATE,43.783308168,-79.4460891,2.8,2.4,2.6,84
1965,PRIVATE,43.735849503,-79.484562864,2.6,2.6,2.4,84
1965,PRIVATE,43.709548032,-79.3831759737,2.4,2.6,2.4,84
1965,PRIVATE,43.7831736555,-79.4474072647,2.7,2.5,2.4,84
1965,PRIVATE,43.702747493,-79.439790587,2.1,2.6,2.3,84
1965,PRIVATE,43.752216385,-79.403419494,2.6,2.6,2.3,84
1965,PRIVATE,43.703396289,-79.494834359,1.9,2.8,2.5,84
1965,TCHC,43.7426229529,-79.22004925,2.1,2.7,2.4,84
1966,PRIVATE,43.744081781,-79.495035439,2.8,2.3,2.7,84
1966,PRIVATE,43.651457871,-79.39239786,2.4,2.5,2.5,84
1966,TCHC,43.717195772,-79.300999236,2.2,2.6,2.4,84
1967,PRIVATE,43.640711037,-79.446594143,1.9,2.6,2.4,84
1967,SOCIAL HOUSING,43.650480957,-79.431388261,2.2,2.6,2.6,84
1967,PRIVATE,43.6915639113,-79.4491372654,2.5,2.5,2.4,84
1968,PRIVATE,43.758703876,-79.491338263,2.7,2.4,2.4,84
1968,PRIVATE,43.701948809,-79.342340022,2.5,2.6,2.4,84
1969,PRIVATE,43.776383443,-79.349582869,2.8,2.4,2.6,84
1969,PRIVATE,43.671869216,-79.406368935,2.1,2.5,2.6,84
1969,TCHC,43.7624910264,-79.2104930971,2.5,2.5,2.5,84
1969,PRIVATE,43.7453896515,-79.5931218294,2.5,2.7,2.2,84
1970,PRIVATE,43.638620277,-79.442480432,1.8,2.8,2.3,84
1970,PRIVATE,43.636889686,-79.5635303983,2.7,2.5,2.6,84
1970,TCHC,43.716412521,-79.50522006,2.7,2.5,2.6,84
1970,PRIVATE,43.6734524134,-79.2826756397,2.6,2.5,2.4,84
1971,TCHC,43.6972076653,-79.2864410678,2.6,2.6,2.5,84
1971,PRIVATE,43.687596199,-79.301189477,2.8,2.6,2.4,84
1971,TCHC,43.640216059,-79.433778346,2.5,2.6,2.3,84
1972,PRIVATE,43.756531897,-79.489784237,2.5,2.6,2.4,84
1972,PRIVATE,43.712327966,-79.271006364,2.7,2.5,2.5,84
1972,TCHC,43.7420099966,-79.5008716177,2.7,2.5,2.6,84
1973,TCHC,43.652915829,-79.564476577,2.5,2.5,2.4,84
1973,TCHC,43.791324573,-79.369928562,2.5,2.5,2.6,84
1973,TCHC,43.701195373,-79.547954529,2.6,2.6,2.5,84
1974,PRIVATE,43.7242171,-79.510651122,2.9,2.5,2.4,84
1974,TCHC,43.730003595,-79.440208863,2.9,2.4,2.5,84
1974,PRIVATE,43.7880273326,-79.258614594,2.1,2.7,2.4,84
1975,PRIVATE,43.8038619612,-79.1641599515,2.6,2.6,2.3,84
1975,PRIVATE,43.804310025,-79.1674004939,2.4,2.5,2.6,84
1977,PRIVATE,43.663489135,-79.521317056,2.4,2.3,2.8,84
1978,PRIVATE,43.801480967,-79.302703022,2.7,2.5,2.5,84
1980,PRIVATE,43.709773867,-79.310016125,2,2.8,2.1,84
1980,SOCIAL HOUSING,43.649402507,-79.362697005,2.5,2.6,2.3,84
1981,PRIVATE,43.6676849352,-79.3890195894,2.8,2.7,2.3,84
1982,TCHC,43.648589687,-79.366782746,2.6,2.8,2.2,84
1983,TCHC,43.6445845561,-79.40368311,2.1,2.6,2.5,84
1984,PRIVATE,43.768435059,-79.282623224,1.9,2.7,2.2,84
1985,SOCIAL HOUSING,43.759412869,-79.196132171,2.7,2.6,2.4,84
1991,SOCIAL HOUSING,43.662450948,-79.368026345,2.6,2.5,2.4,84
1992,SOCIAL HOUSING,43.799334653,-79.149625429,2.6,2.7,2.2,84
1993,TCHC,43.6797322246,-79.3217059206,2.4,2.5,2.6,84
1994,SOCIAL HOUSING,43.7449592405,-79.2949788446,2.5,2.6,2.4,84
1994,TCHC,43.720003879,-79.603372534,2.2,2.7,2.3,84
1896,PRIVATE,43.669993164,-79.40358451,1.7,2.9,2.2,85
1898,PRIVATE,43.668032007,-79.377921381,2.4,2.6,2.4,85
1904,PRIVATE,43.661081408,-79.412672813,1.9,2.8,2.3,85
1917,PRIVATE,43.636238103,-79.439018826,1.8,2.6,2.4,85
1920,PRIVATE,43.67304043,-79.284311709,2.3,2.6,2.4,85
1929,PRIVATE,43.679681068,-79.433946431,2.8,2.6,2.4,85
1929,PRIVATE,43.684216555,-79.421720303,1.9,2.6,2.5,85
1930,PRIVATE,43.713530331,-79.398012046,2.5,2.6,2.6,85
1930,PRIVATE,43.6628515298,-79.4210660752,2.2,2.5,2.5,85
1930,PRIVATE,43.709474767,-79.398448562,2.5,2.5,2.7,85
1930,PRIVATE,43.692681862,-79.396819192,1.9,2.7,2.4,85
1930,PRIVATE,43.672312017,-79.287748332,2.1,2.6,2.5,85
1940,PRIVATE,43.687794468,-79.270325262,2.6,2.5,2.5,85
1940,PRIVATE,43.653332449,-79.467450244,2.4,2.4,2.6,85
1950,PRIVATE,43.699334797,-79.40593461,2.6,2.5,2.6,85
1950,PRIVATE,43.637258566,-79.48965433,2.5,2.6,2.4,85
1950,PRIVATE,43.675879096,-79.373384913,2.1,2.8,2.3,85
1950,PRIVATE,43.736205215,-79.44139433,2.7,2.5,2.5,85
1950,PRIVATE,43.6932514595,-79.4827536797,2.8,2.5,2.5,85
1950,PRIVATE,43.718811663,-79.401166452,2.8,2.3,2.7,85
1951,PRIVATE,43.6941375309,-79.3272137996,2.6,2.6,2.5,85
1951,PRIVATE,43.709264988,-79.310413824,1.8,2.8,2.5,85
1951,PRIVATE,43.692977471,-79.48134741,2.3,2.7,2.5,85
1952,PRIVATE,43.69920941,-79.40587277,2.6,2.5,2.6,85
1952,PRIVATE,43.686627439,-79.374759908,2.8,2.3,2.8,85
1954,PRIVATE,43.718310388,-79.435578125,1.7,2.8,2.3,85
1954,PRIVATE,43.6651374005,-79.5205512959,2.7,2.5,2.6,85
1954,TCHC,43.67811527,-79.301776866,2.5,2.8,2.3,85
1955,PRIVATE,43.6009687445,-79.499480988,1.7,2.8,2.3,85
1955,PRIVATE,43.687638062,-79.420552451,2.5,2.5,2.6,85
1955,PRIVATE,43.6926919823,-79.4790165335,2.9,2.6,2.5,85
1955,PRIVATE,43.723761725,-79.402367148,2.8,2.4,2.7,85
1955,PRIVATE,43.7384211629,-79.4206636772,2.1,2.6,2.5,85
1955,PRIVATE,43.723788531,-79.558734879,2.1,2.5,2.6,85
1955,PRIVATE,43.6009687445,-79.499480988,1.9,2.7,2.4,85
1956,PRIVATE,43.6831820527,-79.4807822687,2.4,2.6,2.3,85
1956,PRIVATE,43.732555272,-79.437392397,1.7,2.9,2.3,85
1956,PRIVATE,43.7083504804,-79.4265525477,3,2.4,2.6,85
1957,TCHC,43.719074422,-79.441290791,2.2,2.6,2.4,85
1957,PRIVATE,43.720114558,-79.481266767,2.2,2.8,2.5,85
1957,TCHC,43.717910324,-79.443368577,2.8,2.8,2.2,85
1957,PRIVATE,43.674434569,-79.379291222,2.6,2.4,2.5,85
1957,PRIVATE,43.6016913741,-79.5154841711,2.3,2.7,2.3,85
1958,PRIVATE,43.730044079,-79.459514443,2,2.6,2.6,85
1958,PRIVATE,43.6386262832,-79.4911761302,2.4,2.6,2.5,85
1958,PRIVATE,43.742830648,-79.435864101,2.8,2.5,2.5,85
1958,PRIVATE,43.662865718,-79.504063965,2.5,2.6,2.5,85
1958,PRIVATE,43.74369407,-79.436075043,2.7,2.5,2.7,85
1958,PRIVATE,43.6812020963,-79.4931053414,2.8,2.8,2.2,85
1959,PRIVATE,43.731860222,-79.437462746,2.3,2.6,2.4,85
1959,PRIVATE,43.7284977107,-79.2991802272,1.7,2.8,2.3,85
1959,PRIVATE,43.684752704,-79.419315115,2.4,2.5,2.6,85
1959,PRIVATE,43.665065952,-79.4034815,2.4,2.7,2.3,85
1960,PRIVATE,43.681345773,-79.418137332,1.4,2.9,2.4,85
1960,PRIVATE,43.729832928,-79.468851985,2.9,2.5,2.5,85
1960,PRIVATE,43.669071979,-79.406941997,2.8,2.3,2.8,85
1960,PRIVATE,43.6898644553,-79.4968078854,2.5,2.5,2.6,85
1960,PRIVATE,43.699454099,-79.517762353,2.5,2.7,2.4,85
1960,PRIVATE,43.731832976,-79.272992909,2.8,2.3,2.8,85
1960,PRIVATE,43.7266882298,-79.3178088353,2.5,2.6,2.5,85
1960,PRIVATE,43.638931663,-79.563356099,2.6,2.5,2.5,85
1960,PRIVATE,43.7729614499,-79.444496063,2.8,2.5,2.6,85
1960,PRIVATE,43.7266750646,-79.3142450154,2.8,2.4,2.7,85
1960,PRIVATE,43.684194607,-79.420388962,2.9,2.5,2.5,85
1961,PRIVATE,43.617546985,-79.486518722,2.8,2.7,2.5,85
1961,PRIVATE,43.7346483486,-79.268437993,2.6,2.5,2.5,85
1962,TCHC,43.759507201,-79.320050542,2.7,2.6,2.4,85
1962,PRIVATE,43.7607627903,-79.3217087274,2.6,2.5,2.4,85
1963,PRIVATE,43.707214984,-79.486164406,2.7,2.5,2.4,85
1963,PRIVATE,43.668753427,-79.392394273,2.3,2.6,2.4,85
1964,PRIVATE,43.706670217,-79.39061631,2.4,2.7,2.4,85
1964,TCHC,43.656446656,-79.365424701,2.7,2.7,2.1,85
1964,PRIVATE,43.7176295755,-79.5558080485,2.9,2.4,2.8,85
1964,PRIVATE,43.7190096,-79.330401851,2.7,2.7,2.4,85
1965,PRIVATE,43.753481576,-79.453303954,2.6,2.5,2.8,85
1965,PRIVATE,43.6389025378,-79.4370268337,2.5,2.6,2.5,85
1965,PRIVATE,43.7621440095,-79.5199371956,2.8,2.6,2.5,85
1965,PRIVATE,43.690494646,-79.344765353,1.8,2.6,2.5,85
1965,PRIVATE,43.65686946,-79.462422615,2.3,2.6,2.5,85
1965,PRIVATE,43.722654944,-79.5130447411,2.9,2.5,2.7,85
1965,PRIVATE,43.691599597,-79.356843843,2.9,2.5,2.7,85
1965,PRIVATE,43.729575207,-79.267353211,2.8,2.4,2.8,85
1966,PRIVATE,43.695274406,-79.448258568,2.2,2.5,2.5,85
1966,PRIVATE,43.697351445,-79.394993963,2.8,2.8,2.3,85
1966,PRIVATE,43.7430013291,-79.1969715203,2.1,2.7,2.3,85
1967,PRIVATE,43.748015635,-79.487900293,2.7,2.5,2.6,85
1967,PRIVATE,43.7606174266,-79.3350540559,2.3,2.7,2.5,85
1967,PRIVATE,43.7196469123,-79.5158634781,1.6,2.7,2.4,85
1967,PRIVATE,43.717178707,-79.332997055,2.7,2.6,2.6,85
1968,PRIVATE,43.745263651,-79.583968046,2.5,2.4,2.6,85
1968,PRIVATE,43.670727396,-79.401650658,2.8,2.8,2.4,85
1968,PRIVATE,43.723717319,-79.496484027,2.6,2.5,2.5,85
1968,PRIVATE,43.7300058216,-79.3053972189,2.4,2.7,2.3,85
1969,PRIVATE,43.687299065,-79.300651307,2.6,2.6,2.6,85
1969,PRIVATE,43.7547279598,-79.3146445734,2.4,2.7,2.4,85
1969,PRIVATE,43.709455686,-79.386891755,2.3,2.5,2.5,85
1969,TCHC,43.668827347,-79.373701881,2.5,2.6,2.4,85
1970,PRIVATE,43.7801851032,-79.2301866878,2.8,2.7,2.4,85
1970,PRIVATE,43.781260071,-79.230756573,2.8,2.6,2.5,85
1970,PRIVATE,43.687784182,-79.299964232,2.6,2.7,2.3,85
1970,TCHC,43.6788050577,-79.3358716026,2.3,2.5,2.4,85
1970,TCHC,43.7812403712,-79.3008424612,2.6,2.7,2.4,85
1973,PRIVATE,43.741694269,-79.539304217,2.7,2.6,2.7,85
1973,PRIVATE,43.659649469,-79.373395124,2.6,2.6,2.4,85
1974,TCHC,43.7672342065,-79.1888137161,2.5,2.8,2.2,85
1974,PRIVATE,43.6464029439,-79.5294506955,2.5,2.7,2.4,85
1976,PRIVATE,43.763239637,-79.409191362,2.4,2.8,2.3,85
1977,PRIVATE,43.713102856,-79.479638531,2.7,2.8,2.4,85
1977,PRIVATE,43.6911592011,-79.5020724213,2.2,2.7,2.3,85
1979,PRIVATE,43.661630397,-79.3815767552,2.5,2.8,2.2,85
1980,TCHC,43.696320863,-79.394123596,2.1,2.9,2.2,85
1985,TCHC,43.657352303,-79.382931903,2.2,2.6,2.7,85
1985,PRIVATE,43.7215636284,-79.5137264803,2.5,2.8,2.2,85
1986,SOCIAL HOUSING,43.6853017026,-79.418858111,2.5,2.8,2.2,85
1988,SOCIAL HOUSING,43.66002919,-79.343857469,2.5,2.6,2.5,85
1989,TCHC,43.6792629925,-79.3201512401,2.5,2.4,2.6,85
1991,SOCIAL HOUSING,43.647261855,-79.400907613,2.5,2.6,2.6,85
1991,TCHC,43.686322989,-79.290283704,2.3,2.6,2.5,85
2012,SOCIAL HOUSING,43.65908018,-79.366823235,2.6,2.6,2.5,85
1912,PRIVATE,43.648423856,-79.424019412,2.1,2.8,2.5,86
1920,PRIVATE,43.672662921,-79.286123968,2.2,2.5,2.6,86
1920,PRIVATE,43.664540632,-79.382321075,2.6,2.5,2.5,86
1922,PRIVATE,43.638772863,-79.44521128,2.3,2.5,2.7,86
1929,PRIVATE,43.6596564148,-79.3760533854,2.1,2.7,2.6,86
1930,PRIVATE,43.681993157,-79.428841949,2.7,2.4,2.8,86
1930,PRIVATE,43.6844296831,-79.4244100118,2.3,2.7,2.5,86
1930,PRIVATE,43.679604386,-79.434318956,2.6,2.7,2.5,86
1932,PRIVATE,43.6754276016,-79.277427743,2.8,2.4,2.8,86
1933,PRIVATE,43.684537335,-79.419198564,2.8,2.8,2.2,86
1935,PRIVATE,43.705544597,-79.402852447,2.6,2.6,2.5,86
1939,PRIVATE,43.6883914125,-79.4208539018,2.3,2.7,2.6,86
1941,PRIVATE,43.695042733,-79.423481948,2.2,2.8,2.5,86
1945,PRIVATE,43.6947032989,-79.3438349968,2.7,2.4,2.7,86
1950,PRIVATE,43.709715293,-79.309189445,2.8,2.5,2.5,86
1950,PRIVATE,43.7106272814,-79.4788634923,1.9,2.8,2.4,86
1950,PRIVATE,43.6894852292,-79.3546084396,2.5,2.5,2.7,86
1951,PRIVATE,43.697040849,-79.365349715,2.8,2.4,2.7,86
1952,PRIVATE,43.688177664,-79.401518522,2.2,2.7,2.6,86
1953,PRIVATE,43.709807141,-79.506392165,2.5,2.6,2.5,86
1953,PRIVATE,43.711837182,-79.30756275,2.7,2.7,2.5,86
1953,PRIVATE,43.701599075,-79.527506087,1.9,2.8,2.5,86
1954,PRIVATE,43.664582262,-79.523537566,2.7,2.4,2.6,86
1954,PRIVATE,43.714141454,-79.363440204,2.4,2.6,2.5,86
1955,PRIVATE,43.669735327,-79.40029681,2.5,2.5,2.7,86
1955,PRIVATE,43.689657175,-79.3516154158,1.8,2.7,2.5,86
1955,PRIVATE,43.6397937003,-79.4903246449,2.5,2.4,2.9,86
1955,PRIVATE,43.686956506,-79.420413193,3,2.5,2.8,86
1955,PRIVATE,43.650071376,-79.484332368,1.9,2.8,2.5,86
1956,TCHC,43.710430484,-79.397121509,2.5,2.6,2.5,86
1956,PRIVATE,43.722479616,-79.298708244,2.7,2.6,2.7,86
1957,PRIVATE,43.75259236,-79.261009026,2.7,2.7,2.5,86
1958,PRIVATE,43.737360084,-79.492713493,2.8,2.5,2.7,86
1958,PRIVATE,43.711712237,-79.4792178818,3,2.7,2.3,86
1958,PRIVATE,43.668927772,-79.315350573,2.8,2.7,2.4,86
1958,PRIVATE,43.673524685,-79.402146258,2.8,2.5,2.6,86
1959,PRIVATE,43.685428165,-79.409063969,2.1,2.5,2.6,86
1959,PRIVATE,43.635705894,-79.436502748,2.8,2.5,2.7,86
1959,PRIVATE,43.663962291,-79.502132098,2.4,2.7,2.6,86
1959,PRIVATE,43.613801842,-79.493300533,2.4,2.6,2.5,86
1959,PRIVATE,43.7284977107,-79.2991802272,1.9,2.8,2.4,86
1959,PRIVATE,43.672819085,-79.395361896,2.8,2.4,2.8,86
1960,PRIVATE,43.744216815,-79.487452613,2.6,2.6,2.5,86
1960,PRIVATE,43.68523873,-79.407324904,3,2.5,2.8,86
1960,PRIVATE,43.690686289,-79.455914851,3,2.4,2.8,86
1960,PRIVATE,43.733524575,-79.269328158,2.3,2.7,2.5,86
1960,PRIVATE,43.7389927297,-79.3435489971,2.3,2.7,2.6,86
1960,PRIVATE,43.7066838334,-79.5040013996,2.7,2.6,2.5,86
1960,PRIVATE,43.6888376633,-79.435821172,2.4,2.6,2.5,86
1960,PRIVATE,43.7270536549,-79.3169518381,2.8,2.6,2.6,86
1960,PRIVATE,43.6422400128,-79.4533563133,1.7,2.7,2.4,86
1960,PRIVATE,43.635459046,-79.435749561,2.5,2.7,2.4,86
1960,PRIVATE,43.7369856,-79.446046582,2.8,2.7,2.3,86
1960,SOCIAL HOUSING,43.653817451,-79.40412163,2.4,2.6,2.5,86
1960,PRIVATE,43.716209724,-79.557077624,2.8,2.5,2.6,86
1960,PRIVATE,43.63895127,-79.48729016,2.2,2.7,2.5,86
1960,PRIVATE,43.714981273,-79.359599519,2.4,2.4,2.7,86
1961,PRIVATE,43.6721092112,-79.3028387259,2.5,2.5,2.5,86
1961,PRIVATE,43.656154864,-79.391432951,2.7,2.6,2.6,86
1962,PRIVATE,43.696441597,-79.542930362,2.4,2.7,2.4,86
1962,PRIVATE,43.6962315888,-79.3689911694,2.7,2.6,2.6,86
1962,PRIVATE,43.705269832,-79.4911827537,2.3,2.8,2.3,86
1962,PRIVATE,43.635752524,-79.429340078,2.5,2.5,2.8,86
1963,PRIVATE,43.7715767413,-79.4441039119,2.8,2.5,2.6,86
1963,PRIVATE,43.731243504,-79.483577026,2.7,2.6,2.6,86
1965,PRIVATE,43.704991699,-79.305610532,2.6,2.7,2.3,86
1965,PRIVATE,43.6904194773,-79.350649972,2.6,2.7,2.4,86
1965,PRIVATE,43.662438171,-79.503538826,1.7,2.7,2.4,86
1965,PRIVATE,43.716250408,-79.429848725,2.4,2.5,2.5,86
1966,PRIVATE,43.70792635,-79.442961013,2.9,2.5,2.4,86
1966,PRIVATE,43.669133539,-79.405620062,2.6,2.6,2.4,86
1966,PRIVATE,43.7610772976,-79.5211616748,2.8,2.5,2.5,86
1967,PRIVATE,43.7409655734,-79.2446148639,2.8,2.7,2.3,86
1967,PRIVATE,43.686628503,-79.4207223391,2.5,2.5,2.6,86
1967,PRIVATE,43.7075770778,-79.4274046022,3,2.5,2.7,86
1967,PRIVATE,43.673975859,-79.403304934,2.6,2.7,2.4,86
1967,PRIVATE,43.640711037,-79.446594143,2.6,2.6,2.6,86
1967,PRIVATE,43.690063344,-79.343932267,2.6,2.7,2.3,86
1967,PRIVATE,43.685440312,-79.420922917,2.8,2.7,2.4,86
1968,PRIVATE,43.7810845583,-79.2961863382,2,2.9,2.4,86
1968,PRIVATE,43.669443063,-79.398606867,2.7,2.5,2.6,86
1968,PRIVATE,43.747392022,-79.51594339,2.8,2.5,2.7,86
1968,PRIVATE,43.735657495,-79.3078726793,2.2,2.8,2.2,86
1968,PRIVATE,43.635766683,-79.435140899,2.6,2.7,2.4,86
1969,PRIVATE,43.7343403668,-79.2681240316,2,2.9,2.5,86
1969,PRIVATE,43.6696118145,-79.3706631071,2.6,2.7,2.4,86
1969,PRIVATE,43.7751212941,-79.3490805112,2.2,2.7,2.5,86
1969,PRIVATE,43.732716826,-79.436724648,2.4,2.5,2.6,86
1970,PRIVATE,43.700191722,-79.51726408,2.9,2.5,2.5,86
1970,TCHC,43.740664525,-79.226955071,2.5,2.6,2.5,86
1970,PRIVATE,43.77056363,-79.38181666,2.5,2.8,2.3,86
1970,PRIVATE,43.766627208,-79.196932895,2.8,2.7,2.4,86
1970,PRIVATE,43.77056363,-79.38181666,2.4,2.7,2.4,86
1970,PRIVATE,43.610690629,-79.48977037,2,2.8,2.4,86
1971,PRIVATE,43.700017847,-79.2530664991,2.8,2.8,2.3,86
1971,TCHC,43.7677640295,-79.2844534267,2.8,2.6,2.5,86
1972,PRIVATE,43.745957155,-79.595120169,2.8,2.6,2.5,86
1973,PRIVATE,43.726981609,-79.325548777,2.4,2.5,2.6,86
1975,SOCIAL HOUSING,43.7960933089,-79.3168137535,2.4,2.6,2.5,86
1975,PRIVATE,43.8046874624,-79.1658225399,2.9,2.6,2.5,86
1977,PRIVATE,43.749222652,-79.2207962727,2.6,2.6,2.6,86
1977,PRIVATE,43.695213273,-79.447956922,2.6,2.8,2.2,86
1980,TCHC,43.752566895,-79.518797427,2.1,2.8,2.6,86
1985,SOCIAL HOUSING,43.759412869,-79.196132171,2.9,2.6,2.5,86
1987,TCHC,43.654829386,-79.38557699,2.5,2.8,2.3,86
1988,SOCIAL HOUSING,43.6582200015,-79.3706451728,2.6,2.7,2.5,86
1989,SOCIAL HOUSING,43.662679383,-79.421476232,2.4,2.8,2.2,86
1992,SOCIAL HOUSING,43.665100576,-79.461595606,2.5,2.6,2.5,86
1992,SOCIAL HOUSING,43.798355204,-79.149608006,2.7,2.5,2.6,86
1992,SOCIAL HOUSING,43.79936022,-79.150044554,2.6,2.7,2.2,86
1994,SOCIAL HOUSING,43.752235605,-79.488646145,2.8,2.7,2.4,86
1995,SOCIAL HOUSING,43.66980753,-79.31766252,2.6,2.5,2.8,86
2011,SOCIAL HOUSING,43.656141544,-79.386162853,2.5,2.8,2.2,86
2011,SOCIAL HOUSING,43.656497402,-79.385911624,2.5,2.8,2.3,86
1900,PRIVATE,43.636657078,-79.440488524,2.2,2.5,2.9,87
1907,PRIVATE,43.66211133,-79.412263301,2.5,2.6,2.7,87
1909,PRIVATE,43.664610347,-79.382107604,2.8,2.7,2.5,87
1911,PRIVATE,43.649350674,-79.429532272,2.9,2.6,2.6,87
1917,PRIVATE,43.668954869,-79.380480475,2.5,2.7,2.3,87
1917,PRIVATE,43.636238103,-79.439018826,2.4,2.6,2.6,87
1923,PRIVATE,43.671968236,-79.29178994,1.7,2.8,2.6,87
1926,PRIVATE,43.6861505709,-79.4199250703,2.8,2.9,2.3,87
1927,PRIVATE,43.682454983,-79.425041007,2.9,2.7,2.4,87
1927,PRIVATE,43.671244051,-79.293265031,2.8,2.6,2.6,87
1928,PRIVATE,43.682095678,-79.400866283,2.7,2.6,2.6,87
1928,PRIVATE,43.67114612,-79.293656455,1.9,2.7,2.6,87
1929,PRIVATE,43.691956596,-79.39570523,2.5,2.8,2.3,87
1930,PRIVATE,43.6621204502,-79.4285552093,1.7,2.8,2.5,87
1930,PRIVATE,43.683958362,-79.419578031,2,2.8,2.5,87
1939,PRIVATE,43.659740893,-79.374693208,3,2.4,2.9,87
1940,SOCIAL HOUSING,43.672159426,-79.28867321,2.7,2.6,2.6,87
1943,PRIVATE,43.664980583,-79.521636911,2.8,2.5,2.7,87
1949,PRIVATE,43.742622571,-79.437601927,2.8,2.8,2.4,87
1949,PRIVATE,43.650324067,-79.497362719,2.7,2.6,2.7,87
1950,PRIVATE,43.730975673,-79.4363599981,2.6,2.6,2.5,87
1950,PRIVATE,43.732860887,-79.341819625,2.9,2.6,2.5,87
1950,PRIVATE,43.711058893,-79.400038685,2.4,2.7,2.5,87
1950,PRIVATE,43.6740184548,-79.3778037961,2.6,2.6,2.6,87
1950,PRIVATE,43.601459365,-79.515398304,2.5,2.5,2.6,87
1950,PRIVATE,43.750636326,-79.2638428764,2.8,2.7,2.4,87
1950,PRIVATE,43.692294791,-79.482440365,2.6,2.7,2.6,87
1950,PRIVATE,43.7198292201,-79.5150038908,2.6,2.8,2.4,87
1950,PRIVATE,43.6929246755,-79.4786023031,2.5,2.7,2.5,87
1951,PRIVATE,43.693064312,-79.482178967,2.5,2.7,2.5,87
1952,PRIVATE,43.609303547,-79.4892009672,2.6,2.4,2.9,87
1952,PRIVATE,43.686670483,-79.374860081,2.8,2.5,2.7,87
